srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Telangana,2014-15,505,4207,106185,2.68,4423,2014,"Calendar Year (Jan - Dec), 2014"
Tripura,2014-15,34,141,1979,0.65,,2014,"Calendar Year (Jan - Dec), 2014"
Uttar Pradesh,2014-15,1397,25198,20776,4.94,1494,2014,"Calendar Year (Jan - Dec), 2014"
Uttarakhand,2014-15,26,1565,3697,0.04,469,2014,"Calendar Year (Jan - Dec), 2014"
West Bengal,2014-15,657,4961,48136,16.17,740,2014,"Calendar Year (Jan - Dec), 2014"
Andaman and Nicobar Islands,2015-16,5,15,989,0.37,,2015,"Calendar Year (Jan - Dec), 2015"
Andhra Pradesh,2015-16,566,10817,141743,23.52,789,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015-16,19,50,427,0.04,36,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015-16,45,843,4740,2.94,,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015-16,302,8288,10021,5.07,240,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,2015-16,1,43,167,0,,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015-16,41,1277,15028,3.42,90,2015,"Calendar Year (Jan - Dec), 2015"
Dadra & Nagar Haveli,2015-16,,9,73,0,,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,2015-16,1,1,8,0.23,,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015-16,70,281,0,0.01,,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015-16,8,54,352,1.12,,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015-16,34,12262,17216,8.1,2283,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015-16,403,8381,49133,1.21,702,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015-16,4,1283,812,0.12,1409,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015-16,75,2273,2309,0.2,6866,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015-16,51,1812,4833,1.16,166,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015-16,197,6344,47660,5.81,8191,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015-16,466,2650,24425,7.28,,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,2015-16,1,3,144,0.16,,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015-16,70,12148,14414,1.15,442,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015-16,675,10153,52858,5.8,1390,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,2015-16,26,79,1037,0.32,,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,2015-16,41,84,1064,0.11,,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2015-16,14,22,391,0.07,,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,2015-16,36,77,465,0.08,,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015-16,165,1930,19273,5.21,,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2015-16,15,48,114,0.54,,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015-16,250,10774,44218,1.2,473,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015-16,180,18500,13853,0.42,13415,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,2015-16,6,67,102,0,0,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015-16,544,7244,161252,7.09,1,2015,"Calendar Year (Jan - Dec), 2015"
Telangana,2015-16,542,4442,112058,2.37,4562,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,2015-16,37,152,2161,0.69,,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015-16,1418,26387,21929,5.05,1265,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,2015-16,271,1656,3907,0.04,513,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015-16,686,5038,60108,16.71,748,2015,"Calendar Year (Jan - Dec), 2015"
Andaman and Nicobar Islands,2016-17,5,16,1032,0.39,,2016,"Calendar Year (Jan - Dec), 2016"
