srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Gujarat,2011-12,Rural,Male,4,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,Rural,Male,66,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,Rural,Male,94,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,Rural,Male,11,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,Rural,Male,27,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,Rural,Male,43,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,Rural,Male,17,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,Rural,Male,17,2011,"Calendar Year (Jan - Dec), 2011"
Andhra Pradesh,2011-12,Urban,Overall,43,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,Urban,Overall,48,2011,"Calendar Year (Jan - Dec), 2011"
Puducherry,2011-12,Rural,Overall,8,2011,"Calendar Year (Jan - Dec), 2011"
Lakshadweep,2011-12,Rural,Overall,160,2011,"Calendar Year (Jan - Dec), 2011"
Daman & Diu,2011-12,Rural,Overall,,2011,"Calendar Year (Jan - Dec), 2011"
Dadra & Nagar Haveli,2011-12,Rural,Overall,,2011,"Calendar Year (Jan - Dec), 2011"
Chandigarh,2011-12,Rural,Overall,,2011,"Calendar Year (Jan - Dec), 2011"
Andaman and Nicobar Islands,2011-12,Rural,Overall,54,2011,"Calendar Year (Jan - Dec), 2011"
West Bengal,2011-12,Rural,Overall,27,2011,"Calendar Year (Jan - Dec), 2011"
Uttar Pradesh,2011-12,Rural,Overall,9,2011,"Calendar Year (Jan - Dec), 2011"
Uttarakhand,2011-12,Rural,Overall,25,2011,"Calendar Year (Jan - Dec), 2011"
Tripura,2011-12,Rural,Overall,105,2011,"Calendar Year (Jan - Dec), 2011"
Tamil Nadu,2011-12,Rural,Overall,20,2011,"Calendar Year (Jan - Dec), 2011"
Sikkim,2011-12,Rural,Overall,10,2011,"Calendar Year (Jan - Dec), 2011"
Rajasthan,2011-12,Rural,Overall,7,2011,"Calendar Year (Jan - Dec), 2011"
Punjab,2011-12,Rural,Overall,19,2011,"Calendar Year (Jan - Dec), 2011"
Odisha,2011-12,Rural,Overall,22,2011,"Calendar Year (Jan - Dec), 2011"
Nagaland,2011-12,Rural,Overall,151,2011,"Calendar Year (Jan - Dec), 2011"
