ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
71,India,8,Rajasthan,2011,"Financial Year (Apr - Mar), 2011",2011-12,7346942,43483664,11968461,16157472,4153426,39533094,14573542,6666606,13630579,6716402,1364042,5689422,4153426,16157472,4359171,57192,39533093,7346942,6666606,13630579,14573542,1342503,57192,5689422,11968461,43483664,1364042,4359171,6716402,1342503
72,India,8,Rajasthan,2012,"Financial Year (Apr - Mar), 2012",2011-12,8389344,49355124,12567468,17552092,4328429,44638216,17096161,5627437,14651344,7660242,1494592,4570746,4040715,18913977,4269383,63658,40980249,7565947,5330888,13635793,15829410,1449360,58441,4316304,11638463,45456434,1475027,4568112,6889645,1468117
73,India,8,Rajasthan,2013,"Financial Year (Apr - Mar), 2013",2011-12,8599905,55103102,13191113,19080457,4938020,49423579,19649452,5338669,15622905,7732978,1714035,4158507,4203970,21932128,4506320,69480,43429222,8192234,4900336,13736174,16979552,1625451,61053,3799857,11473314,48623018,1652756,5259336,7449123,1685337
74,India,8,Rajasthan,2014,"Financial Year (Apr - Mar), 2014",2011-12,7760668,61564156,15227858,20563745,5303636,55151705,22511570,6178417,18078103,6780921,1912251,4875962,4261931,24980273,4569177,76429,46540773,7828218,5548790,15076043,18391587,1782306,64496,4379336,12536250,52150893,1813500,5634918,7028062,1877060
124,India,13,Nagaland,2014,"Financial Year (Apr - Mar), 2014",2011-12,380195,1840067,177027,831569,127347,1610442,869855,24062,206120,312925,51073,18840,88565,999749,95938,78367,1240641,291145,16087,145342,716396,54388,60372,11410,119146,1439877,55223,135297,236193,50131
75,India,8,Rajasthan,2015,"Financial Year (Apr - Mar), 2015",2011-12,8205264,68148226,16812704,21598501,5267255,61071278,24810788,7694489,19905359,7143740,2005841,6329184,4185490,27620134,4495952,83426,50192151,7315288,6976098,17605337,19127580,1822260,68565,5751651,14866429,56333953,1858091,5600200,6484582,1964576
76,India,8,Rajasthan,2016,"Financial Year (Apr - Mar), 2016",2011-12,10156123,76058727,17886575,22753026,5582594,68262616,27560818,7876594,21267724,8999629,2054000,6460246,4287400,30697595,4635357,91924,52965038,7594885,7184463,18677826,20016124,1864994,71324,5914130,15685217,59674551,1905555,5947297,6721387,2007639
77,India,8,Rajasthan,2017,"Financial Year (Apr - Mar), 2017",2011-12,9242336,82866123,19338194,24624527,6056116,74462189,31433666,8238917,23020518,7997166,2537092,6689262,4370505,34774224,4766570,98188,55442912,7257975,7331370,19189558,21805527,2145704,73109,5974893,15999693,62483093,2192395,6473276,6338909,2482315
78,India,8,Rajasthan,2018,"Financial Year (Apr - Mar), 2018",2011-12,10234217,92178923,19765046,27377404,6918009,82906816,36772802,8949841,23600638,8890084,2858278,7260701,4600711,40718589,5045154,107890,58059438,7640966,7702938,17984222,24174758,2239313,75555,6276435,14752920,65571344,2291819,7400356,6677029,2794193
79,India,8,Rajasthan,2019,"Financial Year (Apr - Mar), 2019",2011-12,12061051,99899911,20435201,28591448,7272798,89914304,39953812,8991610,24405415,10476987,3032633,7294587,4746069,44225024,5204555,115492,61029221,8491791,7718056,18273741,25237084,2342322,78390,6288754,14980890,68871434,2397243,7779883,7420520,2964639
80,India,8,Rajasthan,2020,"Financial Year (Apr - Mar), 2020",2011-12,12946916,95791203,18624116,25461471,6830263,86263257,36883642,8376584,22302847,11246505,3075090,6795637,4472167,40863389,4904193,109386,57014315,8667562,7100114,16902825,22499642,2323583,72297,5785248,13780218,64322178,2378065,7306492,7574116,3006144
81,India,9,Uttar Pradesh,2011,"Financial Year (Apr - Mar), 2011",2011-12,12415418,72405044,16201993,31032616,8090539,64513155,27165414,8763582,18831646,11143150,2518198,6919442,8090539,31032616,8487701,32002,64513155,12415418,8763582,18831646,27165414,2478434,32002,6919442,16201993,72405044,2518198,8487701,11143150,2478434
82,India,9,Uttar Pradesh,2012,"Financial Year (Apr - Mar), 2012",2011-12,14951864,82239292,17983335,33141214,8858939,73299533,31096451,9522404,20760728,13480767,2812002,7714453,8133292,35652242,8573758,35812,67355218,13040500,9127051,19330910,28828503,2731371,32908,7392673,16667659,75820496,2775193,9320623,11675934,2762189
83,India,9,Uttar Pradesh,2013,"Financial Year (Apr - Mar), 2013",2011-12,16250096,94035644,20760953,35484525,9503217,83382509,35248153,11377466,24023347,14497145,3139689,9412844,8097091,40729659,8671279,40124,70746910,12747030,10381954,20876854,30683107,2979637,34044,8552794,17858068,80206969,3027442,10113422,11244514,3087348
