srcStateName,srcYear,Birth rate,Death rate,YearCode,Year
Assam,2015,22,7.1,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015,26.3,6.2,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,2015,13.7,4.4,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015,23.2,7.5,2015,"Calendar Year (Jan - Dec), 2015"
Dadra & Nagar Haveli,2015,25.5,3.9,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,2015,17.1,4.7,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015,16.4,3.6,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015,12.7,6.4,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015,20.4,6.1,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015,20.9,6.1,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015,16.3,6.6,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015,16.2,4.9,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015,23.5,5.8,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015,17.9,6.6,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,2015,14.7,6.2,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015,25.5,7.5,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015,16.3,5.8,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,2015,14.4,4,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,2015,23.7,7.4,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2015,16.2,4.2,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,2015,14.8,3,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015,19.2,7.6,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2015,13.8,6.8,2015,"Calendar Year (Jan - Dec), 2015"
Punjab,2015,15.2,6.2,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015,24.8,6.3,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,2015,17,5,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015,15.2,6.7,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015,14.8,6.6,2015,"Calendar Year (Jan - Dec), 2015"
Telangana,2015,17.8,6.5,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,2015,14.7,5.2,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015,26.7,7.2,2015,"Calendar Year (Jan - Dec), 2015"
Uttarakhand,2015,17.8,6.4,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2016,13.9,7.2,2016,"Calendar Year (Jan - Dec), 2016"
Andaman & Nicobar Islands,2016,11.7,5.2,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2016,16.4,6.8,2016,"Calendar Year (Jan - Dec), 2016"
Arunachal Pradesh,2016,18.9,6.2,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016,21.7,6.7,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016,26.8,6,2016,"Calendar Year (Jan - Dec), 2016"
Chandigarh,2016,13.9,4.5,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016,22.8,7.4,2016,"Calendar Year (Jan - Dec), 2016"
Dadra & Nagar Haveli,2016,24.5,4,2016,"Calendar Year (Jan - Dec), 2016"
Daman & Diu,2016,24,4.6,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016,15.5,4,2016,"Calendar Year (Jan - Dec), 2016"
Goa,2016,12.9,6.7,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016,20.1,6.1,2016,"Calendar Year (Jan - Dec), 2016"
Haryana,2016,20.7,5.9,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016,16,6.8,2016,"Calendar Year (Jan - Dec), 2016"
Jammu and Kashmir,2016,15.7,5,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016,22.9,5.5,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016,17.6,6.7,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016,14.3,7.6,2016,"Calendar Year (Jan - Dec), 2016"
Lakshadweep,2016,18.9,6,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016,25.1,7.1,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016,15.9,5.9,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016,12.9,4.5,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016,23.7,6.6,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,2016,15.5,4.2,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016,14,4.5,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016,18.6,7.8,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016,14.9,6,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016,24.3,6.1,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,2016,16.6,4.7,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016,15,6.4,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016,17.5,6.1,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,2016,13.7,5.5,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016,26.2,6.9,2016,"Calendar Year (Jan - Dec), 2016"
Uttarakhand,2016,16.6,6.7,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016,15.4,5.8,2016,"Calendar Year (Jan - Dec), 2016"
Andaman & Nicobar Islands,2017,11.4,5.1,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017,16.2,7.2,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017,18.3,6.1,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017,21.2,6.5,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017,26.4,5.8,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017,13.5,4.5,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017,22.7,7.5,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017,23.6,4.4,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017,20.2,4.7,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017,15.2,3.7,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017,12.5,6.2,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017,19.9,6.2,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017,20.5,5.8,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017,15.8,6.6,2017,"Calendar Year (Jan - Dec), 2017"
Jammu and Kashmir,2017,15.4,4.8,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017,22.7,5.5,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017,17.4,6.5,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017,14.2,6.8,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017,15,6.5,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017,24.8,6.8,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017,15.7,5.7,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017,14.6,5.3,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017,22.8,6.1,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017,15,4,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017,13.5,3.6,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017,18.3,7.4,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017,13.2,7.3,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017,14.9,7,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017,24.1,6,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017,16.4,4.5,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017,14.9,6.7,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017,17.2,6.6,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017,13,5.2,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017,25.9,6.7,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017,17.3,6.7,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017,15.2,5.8,2017,"Calendar Year (Jan - Dec), 2017"
Andaman & Nicobar Islands,2018,11.2,5.3,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,16,6.7,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,17.9,6,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2018,16.7,6.2,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018,25.6,6.6,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,21.1,6.4,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,26.2,5.8,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,13.3,4.3,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018,22.5,8,2018,"Calendar Year (Jan - Dec), 2018"
Dadra & Nagar Haveli,2018,22.9,3.8,2018,"Calendar Year (Jan - Dec), 2018"
Daman & Diu,2018,19.6,4.5,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018,14.7,3.3,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,12.4,5.9,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018,19.7,5.9,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018,20.3,5.9,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,2018,15.7,6.9,2018,"Calendar Year (Jan - Dec), 2018"
Jammu and Kashmir,2018,15.4,4.9,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,22.6,5.4,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018,17.2,6.3,2018,"Calendar Year (Jan - Dec), 2018"
