ROWID,Country,State lgd code,State,YearCode,Year,Birth rate,Death rate
320,India,12,Arunachal Pradesh,2002,"Calendar Year (Jan - Dec), 2002",20.2,4.8
321,India,12,Arunachal Pradesh,2003,"Calendar Year (Jan - Dec), 2003",18.9,4.7
322,India,12,Arunachal Pradesh,2004,"Calendar Year (Jan - Dec), 2004",21.2,4.7
323,India,12,Arunachal Pradesh,2005,"Calendar Year (Jan - Dec), 2005",23.3,5
324,India,12,Arunachal Pradesh,2006,"Calendar Year (Jan - Dec), 2006",22.5,5
406,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",19.1,5.2
325,India,12,Arunachal Pradesh,2007,"Calendar Year (Jan - Dec), 2007",22.2,5.1
326,India,12,Arunachal Pradesh,2008,"Calendar Year (Jan - Dec), 2008",21.8,5.2
327,India,12,Arunachal Pradesh,2009,"Calendar Year (Jan - Dec), 2009",21.1,6.1
328,India,12,Arunachal Pradesh,2010,"Calendar Year (Jan - Dec), 2010",20.5,5.9
329,India,12,Arunachal Pradesh,2011,"Calendar Year (Jan - Dec), 2011",19.8,5.8
330,India,12,Arunachal Pradesh,2012,"Calendar Year (Jan - Dec), 2012",19.4,5.8
331,India,12,Arunachal Pradesh,2013,"Calendar Year (Jan - Dec), 2013",19.3,5.8
332,India,12,Arunachal Pradesh,2014,"Calendar Year (Jan - Dec), 2014",19.2,6.6
333,India,12,Arunachal Pradesh,2015,"Calendar Year (Jan - Dec), 2015",18.8,6
334,India,12,Arunachal Pradesh,2016,"Calendar Year (Jan - Dec), 2016",18.9,6.2
335,India,12,Arunachal Pradesh,2017,"Calendar Year (Jan - Dec), 2017",18.3,6.1
336,India,12,Arunachal Pradesh,2018,"Calendar Year (Jan - Dec), 2018",17.9,6
337,India,13,Nagaland,1991,"Calendar Year (Jan - Dec), 1991",18.5,3.3
338,India,13,Nagaland,1992,"Calendar Year (Jan - Dec), 1992",19.2,3.8
339,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",20,4.6
340,India,13,Nagaland,1994,"Calendar Year (Jan - Dec), 1994",20.1,4.3
341,India,13,Nagaland,1995,"Calendar Year (Jan - Dec), 1995",,
342,India,13,Nagaland,1996,"Calendar Year (Jan - Dec), 1996",,
343,India,13,Nagaland,1997,"Calendar Year (Jan - Dec), 1997",,
344,India,13,Nagaland,1998,"Calendar Year (Jan - Dec), 1998",,
345,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",,
346,India,13,Nagaland,2000,"Calendar Year (Jan - Dec), 2000",,
347,India,13,Nagaland,2001,"Calendar Year (Jan - Dec), 2001",,
348,India,13,Nagaland,2002,"Calendar Year (Jan - Dec), 2002",,
349,India,13,Nagaland,2003,"Calendar Year (Jan - Dec), 2003",,
350,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",13.9,3.7
351,India,13,Nagaland,2005,"Calendar Year (Jan - Dec), 2005",16.4,3.8
352,India,13,Nagaland,2006,"Calendar Year (Jan - Dec), 2006",17.3,4.8
353,India,13,Nagaland,2007,"Calendar Year (Jan - Dec), 2007",17.4,5
354,India,13,Nagaland,2008,"Calendar Year (Jan - Dec), 2008",17.5,4.6
355,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",17.2,3.6
356,India,13,Nagaland,2010,"Calendar Year (Jan - Dec), 2010",16.8,3.6
357,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",16.1,3.3
358,India,13,Nagaland,2012,"Calendar Year (Jan - Dec), 2012",15.6,3.2
359,India,13,Nagaland,2013,"Calendar Year (Jan - Dec), 2013",15.4,3.1
360,India,13,Nagaland,2014,"Calendar Year (Jan - Dec), 2014",15.3,3.1
361,India,13,Nagaland,2015,"Calendar Year (Jan - Dec), 2015",14.8,3
362,India,13,Nagaland,2016,"Calendar Year (Jan - Dec), 2016",14,4.5
363,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",13.5,3.6
364,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",12.9,3.5
365,India,14,Manipur,1991,"Calendar Year (Jan - Dec), 1991",20.1,5.4
366,India,14,Manipur,1992,"Calendar Year (Jan - Dec), 1992",19.5,5.6
367,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",20.5,4.8
368,India,14,Manipur,1994,"Calendar Year (Jan - Dec), 1994",21.7,6.7
369,India,14,Manipur,1995,"Calendar Year (Jan - Dec), 1995",20.6,6.7
370,India,14,Manipur,1996,"Calendar Year (Jan - Dec), 1996",19.6,5.8
371,India,14,Manipur,1997,"Calendar Year (Jan - Dec), 1997",19.7,5.9
372,India,14,Manipur,1998,"Calendar Year (Jan - Dec), 1998",19,5.3
373,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",18.6,5.4
374,India,14,Manipur,2000,"Calendar Year (Jan - Dec), 2000",18.3,5.6
375,India,14,Manipur,2001,"Calendar Year (Jan - Dec), 2001",18.2,5.1
376,India,14,Manipur,2002,"Calendar Year (Jan - Dec), 2002",16.8,4.6
377,India,14,Manipur,2003,"Calendar Year (Jan - Dec), 2003",15.5,4.8
378,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",13.9,4.3
379,India,14,Manipur,2005,"Calendar Year (Jan - Dec), 2005",14.7,4.1
380,India,14,Manipur,2006,"Calendar Year (Jan - Dec), 2006",13.4,4.5
381,India,14,Manipur,2007,"Calendar Year (Jan - Dec), 2007",14.6,4.4
382,India,14,Manipur,2008,"Calendar Year (Jan - Dec), 2008",15.8,5
383,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",15.4,4.7
384,India,14,Manipur,2010,"Calendar Year (Jan - Dec), 2010",14.9,4.2
385,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",14.4,4.1
386,India,14,Manipur,2012,"Calendar Year (Jan - Dec), 2012",14.6,4
387,India,14,Manipur,2013,"Calendar Year (Jan - Dec), 2013",14.7,4
388,India,14,Manipur,2014,"Calendar Year (Jan - Dec), 2014",14.6,4.3
389,India,14,Manipur,2015,"Calendar Year (Jan - Dec), 2015",14.4,4
390,India,14,Manipur,2016,"Calendar Year (Jan - Dec), 2016",12.9,4.5
391,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",14.6,5.3
392,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",14.3,4.5
393,India,15,Mizoram,1991,"Calendar Year (Jan - Dec), 1991",,
394,India,15,Mizoram,1992,"Calendar Year (Jan - Dec), 1992",,
395,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",,
396,India,15,Mizoram,1994,"Calendar Year (Jan - Dec), 1994",,
397,India,15,Mizoram,1995,"Calendar Year (Jan - Dec), 1995",,
398,India,15,Mizoram,1996,"Calendar Year (Jan - Dec), 1996",15.1,3.7
399,India,15,Mizoram,1997,"Calendar Year (Jan - Dec), 1997",15,4.8
400,India,15,Mizoram,1998,"Calendar Year (Jan - Dec), 1998",15.8,5.6
401,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",17,5.5
402,India,15,Mizoram,2000,"Calendar Year (Jan - Dec), 2000",16,5.2
403,India,15,Mizoram,2001,"Calendar Year (Jan - Dec), 2001",15.7,4.4
404,India,15,Mizoram,2002,"Calendar Year (Jan - Dec), 2002",16.9,4.8
405,India,15,Mizoram,2003,"Calendar Year (Jan - Dec), 2003",16,5.1
407,India,15,Mizoram,2005,"Calendar Year (Jan - Dec), 2005",18.8,5.1
408,India,15,Mizoram,2006,"Calendar Year (Jan - Dec), 2006",17.8,5.5
409,India,15,Mizoram,2007,"Calendar Year (Jan - Dec), 2007",18.2,5.2
410,India,15,Mizoram,2008,"Calendar Year (Jan - Dec), 2008",17.8,5.1
411,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",17.6,4.5
412,India,15,Mizoram,2010,"Calendar Year (Jan - Dec), 2010",17.1,4.5
413,India,15,Mizoram,2011,"Calendar Year (Jan - Dec), 2011",16.6,4.4
414,India,15,Mizoram,2012,"Calendar Year (Jan - Dec), 2012",16.3,4.4
415,India,15,Mizoram,2013,"Calendar Year (Jan - Dec), 2013",16.1,4.3
416,India,15,Mizoram,2014,"Calendar Year (Jan - Dec), 2014",16.4,4.3
417,India,15,Mizoram,2015,"Calendar Year (Jan - Dec), 2015",16.2,4.2
418,India,15,Mizoram,2016,"Calendar Year (Jan - Dec), 2016",15.5,4.2
419,India,15,Mizoram,2017,"Calendar Year (Jan - Dec), 2017",15,4
420,India,15,Mizoram,2018,"Calendar Year (Jan - Dec), 2018",14.8,4.1
421,India,16,Tripura,1991,"Calendar Year (Jan - Dec), 1991",24.4,7.6
422,India,16,Tripura,1992,"Calendar Year (Jan - Dec), 1992",23.1,7.6
423,India,16,Tripura,1993,"Calendar Year (Jan - Dec), 1993",23.3,6.4
424,India,16,Tripura,1994,"Calendar Year (Jan - Dec), 1994",21.9,5.3
425,India,16,Tripura,1995,"Calendar Year (Jan - Dec), 1995",18.9,7.7
426,India,16,Tripura,1996,"Calendar Year (Jan - Dec), 1996",18.4,6.5
427,India,16,Tripura,1997,"Calendar Year (Jan - Dec), 1997",18.3,6.8
428,India,16,Tripura,1998,"Calendar Year (Jan - Dec), 1998",17.6,6.1
429,India,16,Tripura,1999,"Calendar Year (Jan - Dec), 1999",17,5.7
430,India,16,Tripura,2000,"Calendar Year (Jan - Dec), 2000",16.5,5.4
431,India,16,Tripura,2001,"Calendar Year (Jan - Dec), 2001",16.1,5.6
432,India,16,Tripura,2002,"Calendar Year (Jan - Dec), 2002",14.9,5.7
433,India,16,Tripura,2003,"Calendar Year (Jan - Dec), 2003",14.5,5.5
434,India,16,Tripura,2004,"Calendar Year (Jan - Dec), 2004",15,5.5
435,India,16,Tripura,2005,"Calendar Year (Jan - Dec), 2005",16,5.7
436,India,16,Tripura,2006,"Calendar Year (Jan - Dec), 2006",16.6,6.3
437,India,16,Tripura,2007,"Calendar Year (Jan - Dec), 2007",17.1,6.5
438,India,16,Tripura,2008,"Calendar Year (Jan - Dec), 2008",15.4,5.9
439,India,16,Tripura,2009,"Calendar Year (Jan - Dec), 2009",14.8,5.1
440,India,16,Tripura,2010,"Calendar Year (Jan - Dec), 2010",14.9,5
441,India,16,Tripura,2011,"Calendar Year (Jan - Dec), 2011",14.3,5
442,India,16,Tripura,2012,"Calendar Year (Jan - Dec), 2012",13.9,4.8
443,India,16,Tripura,2013,"Calendar Year (Jan - Dec), 2013",13.7,4.7
444,India,16,Tripura,2014,"Calendar Year (Jan - Dec), 2014",14.9,4.8
445,India,16,Tripura,2015,"Calendar Year (Jan - Dec), 2015",14.7,5.2
446,India,16,Tripura,2016,"Calendar Year (Jan - Dec), 2016",13.7,5.5
447,India,16,Tripura,2017,"Calendar Year (Jan - Dec), 2017",13,5.2
448,India,16,Tripura,2018,"Calendar Year (Jan - Dec), 2018",13,5.5
449,India,17,Meghalaya,1991,"Calendar Year (Jan - Dec), 1991",32.4,8.8
450,India,17,Meghalaya,1992,"Calendar Year (Jan - Dec), 1992",29.8,8.5
451,India,17,Meghalaya,1993,"Calendar Year (Jan - Dec), 1993",28.5,6.8
452,India,17,Meghalaya,1994,"Calendar Year (Jan - Dec), 1994",29.5,7.1
453,India,17,Meghalaya,1995,"Calendar Year (Jan - Dec), 1995",29,8.9
454,India,17,Meghalaya,1996,"Calendar Year (Jan - Dec), 1996",30.4,8.9
455,India,17,Meghalaya,1997,"Calendar Year (Jan - Dec), 1997",30.2,8.8
456,India,17,Meghalaya,1998,"Calendar Year (Jan - Dec), 1998",29.2,9
457,India,17,Meghalaya,1999,"Calendar Year (Jan - Dec), 1999",28.7,9.1
458,India,17,Meghalaya,2000,"Calendar Year (Jan - Dec), 2000",28.5,9.2
459,India,17,Meghalaya,2001,"Calendar Year (Jan - Dec), 2001",28.3,9
460,India,17,Meghalaya,2002,"Calendar Year (Jan - Dec), 2002",25.8,7.7
461,India,17,Meghalaya,2003,"Calendar Year (Jan - Dec), 2003",24.7,7.4
462,India,17,Meghalaya,2004,"Calendar Year (Jan - Dec), 2004",25.2,7.3
463,India,17,Meghalaya,2005,"Calendar Year (Jan - Dec), 2005",25.1,7.5
464,India,17,Meghalaya,2006,"Calendar Year (Jan - Dec), 2006",24.7,8
465,India,17,Meghalaya,2007,"Calendar Year (Jan - Dec), 2007",24.4,7.5
466,India,17,Meghalaya,2008,"Calendar Year (Jan - Dec), 2008",25.2,7.9
467,India,17,Meghalaya,2009,"Calendar Year (Jan - Dec), 2009",24.4,8.1
468,India,17,Meghalaya,2010,"Calendar Year (Jan - Dec), 2010",24.5,7.9
469,India,17,Meghalaya,2011,"Calendar Year (Jan - Dec), 2011",24.1,7.8
470,India,17,Meghalaya,2012,"Calendar Year (Jan - Dec), 2012",24.1,7.6
471,India,17,Meghalaya,2013,"Calendar Year (Jan - Dec), 2013",23.9,7.6
472,India,17,Meghalaya,2014,"Calendar Year (Jan - Dec), 2014",24.1,7.5
473,India,17,Meghalaya,2015,"Calendar Year (Jan - Dec), 2015",23.7,7.4
474,India,17,Meghalaya,2016,"Calendar Year (Jan - Dec), 2016",23.7,6.6
475,India,17,Meghalaya,2017,"Calendar Year (Jan - Dec), 2017",22.8,6.1
476,India,17,Meghalaya,2018,"Calendar Year (Jan - Dec), 2018",22.1,5.8
477,India,18,Assam,1991,"Calendar Year (Jan - Dec), 1991",30.9,11.5
478,India,18,Assam,1992,"Calendar Year (Jan - Dec), 1992",30.8,10.4
479,India,18,Assam,1993,"Calendar Year (Jan - Dec), 1993",29.5,10.2
480,India,18,Assam,1994,"Calendar Year (Jan - Dec), 1994",30.8,9.2
481,India,18,Assam,1995,"Calendar Year (Jan - Dec), 1995",29.3,9.6
482,India,18,Assam,1996,"Calendar Year (Jan - Dec), 1996",27.6,9.6
483,India,18,Assam,1997,"Calendar Year (Jan - Dec), 1997",28.2,9.9
484,India,18,Assam,1998,"Calendar Year (Jan - Dec), 1998",27.9,10
485,India,18,Assam,1999,"Calendar Year (Jan - Dec), 1999",27,9.7
486,India,18,Assam,2000,"Calendar Year (Jan - Dec), 2000",26.9,9.6
487,India,18,Assam,2001,"Calendar Year (Jan - Dec), 2001",26.8,9.5
488,India,18,Assam,2002,"Calendar Year (Jan - Dec), 2002",26.6,9.2
489,India,18,Assam,2003,"Calendar Year (Jan - Dec), 2003",26.3,9.1
490,India,18,Assam,2004,"Calendar Year (Jan - Dec), 2004",25.1,8.8
491,India,18,Assam,2005,"Calendar Year (Jan - Dec), 2005",25,8.7
492,India,18,Assam,2006,"Calendar Year (Jan - Dec), 2006",24.6,8.7
493,India,18,Assam,2007,"Calendar Year (Jan - Dec), 2007",24.3,8.6
494,India,18,Assam,2008,"Calendar Year (Jan - Dec), 2008",23.9,8.6
495,India,18,Assam,2009,"Calendar Year (Jan - Dec), 2009",23.6,8.4
496,India,18,Assam,2010,"Calendar Year (Jan - Dec), 2010",23.2,8.2
497,India,18,Assam,2011,"Calendar Year (Jan - Dec), 2011",22.8,8
498,India,18,Assam,2012,"Calendar Year (Jan - Dec), 2012",22.5,7.9
499,India,18,Assam,2013,"Calendar Year (Jan - Dec), 2013",22.4,7.8
500,India,18,Assam,2014,"Calendar Year (Jan - Dec), 2014",22.4,7.2
501,India,18,Assam,2015,"Calendar Year (Jan - Dec), 2015",22,7.1
502,India,18,Assam,2016,"Calendar Year (Jan - Dec), 2016",21.7,6.7
503,India,18,Assam,2017,"Calendar Year (Jan - Dec), 2017",21.2,6.5
504,India,18,Assam,2018,"Calendar Year (Jan - Dec), 2018",21.1,6.4
505,India,19,West Bengal,1991,"Calendar Year (Jan - Dec), 1991",27,8.3
506,India,19,West Bengal,1992,"Calendar Year (Jan - Dec), 1992",24.8,8.4
507,India,19,West Bengal,1993,"Calendar Year (Jan - Dec), 1993",25.7,7.4
508,India,19,West Bengal,1994,"Calendar Year (Jan - Dec), 1994",25.2,8.3
509,India,19,West Bengal,1995,"Calendar Year (Jan - Dec), 1995",23.6,7.9
510,India,19,West Bengal,1996,"Calendar Year (Jan - Dec), 1996",22.8,7.8
511,India,19,West Bengal,1997,"Calendar Year (Jan - Dec), 1997",22.4,7.7
512,India,19,West Bengal,1998,"Calendar Year (Jan - Dec), 1998",21.3,7.5
513,India,19,West Bengal,1999,"Calendar Year (Jan - Dec), 1999",,
514,India,19,West Bengal,2000,"Calendar Year (Jan - Dec), 2000",,
515,India,19,West Bengal,2001,"Calendar Year (Jan - Dec), 2001",,
516,India,19,West Bengal,2002,"Calendar Year (Jan - Dec), 2002",,
517,India,19,West Bengal,2003,"Calendar Year (Jan - Dec), 2003",,
518,India,19,West Bengal,2004,"Calendar Year (Jan - Dec), 2004",19.3,6.3
519,India,19,West Bengal,2005,"Calendar Year (Jan - Dec), 2005",18.8,6.4
520,India,19,West Bengal,2006,"Calendar Year (Jan - Dec), 2006",18.4,6.2
521,India,19,West Bengal,2007,"Calendar Year (Jan - Dec), 2007",17.9,6.3
522,India,19,West Bengal,2008,"Calendar Year (Jan - Dec), 2008",17.5,6.2
523,India,19,West Bengal,2009,"Calendar Year (Jan - Dec), 2009",17.2,6.2
524,India,19,West Bengal,2010,"Calendar Year (Jan - Dec), 2010",16.8,6
525,India,19,West Bengal,2011,"Calendar Year (Jan - Dec), 2011",16.3,6.2
526,India,19,West Bengal,2012,"Calendar Year (Jan - Dec), 2012",16.1,6.3
527,India,19,West Bengal,2013,"Calendar Year (Jan - Dec), 2013",16,6.4
528,India,19,West Bengal,2014,"Calendar Year (Jan - Dec), 2014",15.6,6.1
529,India,19,West Bengal,2015,"Calendar Year (Jan - Dec), 2015",15.5,5.9
530,India,19,West Bengal,2016,"Calendar Year (Jan - Dec), 2016",15.4,5.8
531,India,19,West Bengal,2017,"Calendar Year (Jan - Dec), 2017",15.2,5.8
532,India,19,West Bengal,2018,"Calendar Year (Jan - Dec), 2018",15,5.6
533,India,20,Jharkhand,1991,"Calendar Year (Jan - Dec), 1991",,
534,India,20,Jharkhand,1992,"Calendar Year (Jan - Dec), 1992",,
535,India,20,Jharkhand,1993,"Calendar Year (Jan - Dec), 1993",,
536,India,20,Jharkhand,1994,"Calendar Year (Jan - Dec), 1994",,
537,India,20,Jharkhand,1995,"Calendar Year (Jan - Dec), 1995",,
538,India,20,Jharkhand,1996,"Calendar Year (Jan - Dec), 1996",,
539,India,20,Jharkhand,1997,"Calendar Year (Jan - Dec), 1997",,
540,India,20,Jharkhand,1998,"Calendar Year (Jan - Dec), 1998",,
541,India,20,Jharkhand,1999,"Calendar Year (Jan - Dec), 1999",26.3,8.9
542,India,20,Jharkhand,2000,"Calendar Year (Jan - Dec), 2000",26.5,9
543,India,20,Jharkhand,2001,"Calendar Year (Jan - Dec), 2001",26.3,8.8
544,India,20,Jharkhand,2002,"Calendar Year (Jan - Dec), 2002",26.4,7.9
545,India,20,Jharkhand,2003,"Calendar Year (Jan - Dec), 2003",26.3,8
546,India,20,Jharkhand,2004,"Calendar Year (Jan - Dec), 2004",26.2,8
547,India,20,Jharkhand,2005,"Calendar Year (Jan - Dec), 2005",26.8,7.9
548,India,20,Jharkhand,2006,"Calendar Year (Jan - Dec), 2006",26.2,7.5
549,India,20,Jharkhand,2007,"Calendar Year (Jan - Dec), 2007",26.1,7.3
550,India,20,Jharkhand,2008,"Calendar Year (Jan - Dec), 2008",25.8,7.1
551,India,20,Jharkhand,2009,"Calendar Year (Jan - Dec), 2009",25.6,7
552,India,20,Jharkhand,2010,"Calendar Year (Jan - Dec), 2010",25.3,7
553,India,20,Jharkhand,2011,"Calendar Year (Jan - Dec), 2011",25,6.9
554,India,20,Jharkhand,2012,"Calendar Year (Jan - Dec), 2012",24.7,6.8
555,India,20,Jharkhand,2013,"Calendar Year (Jan - Dec), 2013",24.6,6.8
556,India,20,Jharkhand,2014,"Calendar Year (Jan - Dec), 2014",23.8,5.9
557,India,20,Jharkhand,2015,"Calendar Year (Jan - Dec), 2015",23.5,5.8
558,India,20,Jharkhand,2016,"Calendar Year (Jan - Dec), 2016",22.9,5.5
559,India,20,Jharkhand,2017,"Calendar Year (Jan - Dec), 2017",22.7,5.5
560,India,20,Jharkhand,2018,"Calendar Year (Jan - Dec), 2018",22.6,5.4
561,India,21,Odisha,1991,"Calendar Year (Jan - Dec), 1991",28.8,12.8
562,India,21,Odisha,1992,"Calendar Year (Jan - Dec), 1992",27.8,11.7
563,India,21,Odisha,1993,"Calendar Year (Jan - Dec), 1993",27.2,12.2
564,India,21,Odisha,1994,"Calendar Year (Jan - Dec), 1994",28,11.2
565,India,21,Odisha,1995,"Calendar Year (Jan - Dec), 1995",27.8,10.8
566,India,21,Odisha,1996,"Calendar Year (Jan - Dec), 1996",27,10.8
567,India,21,Odisha,1997,"Calendar Year (Jan - Dec), 1997",26.5,10.9
568,India,21,Odisha,1998,"Calendar Year (Jan - Dec), 1998",25.7,11.1
569,India,21,Odisha,1999,"Calendar Year (Jan - Dec), 1999",24.1,10.7
570,India,21,Odisha,2000,"Calendar Year (Jan - Dec), 2000",24.3,10.5
571,India,21,Odisha,2001,"Calendar Year (Jan - Dec), 2001",23.4,10.2
572,India,21,Odisha,2002,"Calendar Year (Jan - Dec), 2002",23.2,9.8
573,India,21,Odisha,2003,"Calendar Year (Jan - Dec), 2003",23,9.7
574,India,21,Odisha,2004,"Calendar Year (Jan - Dec), 2004",22.7,9.6
575,India,21,Odisha,2005,"Calendar Year (Jan - Dec), 2005",22.3,9.5
576,India,21,Odisha,2006,"Calendar Year (Jan - Dec), 2006",21.9,9.3
577,India,21,Odisha,2007,"Calendar Year (Jan - Dec), 2007",21.5,9.2
578,India,21,Odisha,2008,"Calendar Year (Jan - Dec), 2008",21.4,9
579,India,21,Odisha,2009,"Calendar Year (Jan - Dec), 2009",21,8.8
580,India,21,Odisha,2010,"Calendar Year (Jan - Dec), 2010",20.5,8.6
581,India,21,Odisha,2011,"Calendar Year (Jan - Dec), 2011",20.1,8.5
582,India,21,Odisha,2012,"Calendar Year (Jan - Dec), 2012",19.9,8.5
583,India,21,Odisha,2013,"Calendar Year (Jan - Dec), 2013",19.6,8.4
584,India,21,Odisha,2014,"Calendar Year (Jan - Dec), 2014",19.4,7.9
585,India,21,Odisha,2015,"Calendar Year (Jan - Dec), 2015",19.2,7.6
586,India,21,Odisha,2016,"Calendar Year (Jan - Dec), 2016",18.6,7.8
587,India,21,Odisha,2017,"Calendar Year (Jan - Dec), 2017",18.3,7.4
588,India,21,Odisha,2018,"Calendar Year (Jan - Dec), 2018",18.2,7.3
589,India,22,Chhattisgarh,1991,"Calendar Year (Jan - Dec), 1991",,
590,India,22,Chhattisgarh,1992,"Calendar Year (Jan - Dec), 1992",,
591,India,22,Chhattisgarh,1993,"Calendar Year (Jan - Dec), 1993",,
592,India,22,Chhattisgarh,1994,"Calendar Year (Jan - Dec), 1994",,
593,India,22,Chhattisgarh,1995,"Calendar Year (Jan - Dec), 1995",,
594,India,22,Chhattisgarh,1996,"Calendar Year (Jan - Dec), 1996",,
595,India,22,Chhattisgarh,1997,"Calendar Year (Jan - Dec), 1997",,
596,India,22,Chhattisgarh,1998,"Calendar Year (Jan - Dec), 1998",,
597,India,22,Chhattisgarh,1999,"Calendar Year (Jan - Dec), 1999",26.9,9.6
598,India,22,Chhattisgarh,2000,"Calendar Year (Jan - Dec), 2000",26.7,9.6
599,India,22,Chhattisgarh,2001,"Calendar Year (Jan - Dec), 2001",26.3,8.8
600,India,22,Chhattisgarh,2002,"Calendar Year (Jan - Dec), 2002",25,8.7
601,India,22,Chhattisgarh,2003,"Calendar Year (Jan - Dec), 2003",25.2,8.5
602,India,22,Chhattisgarh,2004,"Calendar Year (Jan - Dec), 2004",27.4,7.7
603,India,22,Chhattisgarh,2005,"Calendar Year (Jan - Dec), 2005",27.2,8.1
604,India,22,Chhattisgarh,2006,"Calendar Year (Jan - Dec), 2006",26.9,8.1
605,India,22,Chhattisgarh,2007,"Calendar Year (Jan - Dec), 2007",26.5,8.1
606,India,22,Chhattisgarh,2008,"Calendar Year (Jan - Dec), 2008",26.1,8.1
607,India,22,Chhattisgarh,2009,"Calendar Year (Jan - Dec), 2009",25.7,8.1
608,India,22,Chhattisgarh,2010,"Calendar Year (Jan - Dec), 2010",25.3,8
609,India,22,Chhattisgarh,2011,"Calendar Year (Jan - Dec), 2011",24.9,7.9
610,India,22,Chhattisgarh,2012,"Calendar Year (Jan - Dec), 2012",24.5,7.9
611,India,22,Chhattisgarh,2013,"Calendar Year (Jan - Dec), 2013",24.4,7.9
612,India,22,Chhattisgarh,2014,"Calendar Year (Jan - Dec), 2014",23.4,7.7
613,India,22,Chhattisgarh,2015,"Calendar Year (Jan - Dec), 2015",23.2,7.5
614,India,22,Chhattisgarh,2016,"Calendar Year (Jan - Dec), 2016",22.8,7.4
615,India,22,Chhattisgarh,2017,"Calendar Year (Jan - Dec), 2017",22.7,7.5
616,India,22,Chhattisgarh,2018,"Calendar Year (Jan - Dec), 2018",22.5,8
617,India,23,Madhya Pradesh,1991,"Calendar Year (Jan - Dec), 1991",35.8,13.8
618,India,23,Madhya Pradesh,1992,"Calendar Year (Jan - Dec), 1992",34.9,12.9
619,India,23,Madhya Pradesh,1993,"Calendar Year (Jan - Dec), 1993",33.5,12.6
620,India,23,Madhya Pradesh,1994,"Calendar Year (Jan - Dec), 1994",33,11.6
621,India,23,Madhya Pradesh,1995,"Calendar Year (Jan - Dec), 1995",33.2,11.2
622,India,23,Madhya Pradesh,1996,"Calendar Year (Jan - Dec), 1996",32.3,11.1
623,India,23,Madhya Pradesh,1997,"Calendar Year (Jan - Dec), 1997",31.9,11
624,India,23,Madhya Pradesh,1998,"Calendar Year (Jan - Dec), 1998",30.7,11.2
625,India,23,Madhya Pradesh,1999,"Calendar Year (Jan - Dec), 1999",31.1,10.4
626,India,23,Madhya Pradesh,2000,"Calendar Year (Jan - Dec), 2000",31.4,10.3
627,India,23,Madhya Pradesh,2001,"Calendar Year (Jan - Dec), 2001",30.8,10
628,India,23,Madhya Pradesh,2002,"Calendar Year (Jan - Dec), 2002",30.4,9.8
629,India,23,Madhya Pradesh,2003,"Calendar Year (Jan - Dec), 2003",30.2,9.8
630,India,23,Madhya Pradesh,2004,"Calendar Year (Jan - Dec), 2004",29.8,9.2
631,India,23,Madhya Pradesh,2005,"Calendar Year (Jan - Dec), 2005",29.4,9
632,India,23,Madhya Pradesh,2006,"Calendar Year (Jan - Dec), 2006",29.1,8.9
633,India,23,Madhya Pradesh,2007,"Calendar Year (Jan - Dec), 2007",28.5,8.7
634,India,23,Madhya Pradesh,2008,"Calendar Year (Jan - Dec), 2008",28,8.6
635,India,23,Madhya Pradesh,2009,"Calendar Year (Jan - Dec), 2009",27.7,8.5
636,India,23,Madhya Pradesh,2010,"Calendar Year (Jan - Dec), 2010",27.3,8.3
637,India,23,Madhya Pradesh,2011,"Calendar Year (Jan - Dec), 2011",26.9,8.2
638,India,23,Madhya Pradesh,2012,"Calendar Year (Jan - Dec), 2012",26.6,8.1
639,India,23,Madhya Pradesh,2013,"Calendar Year (Jan - Dec), 2013",26.3,8
640,India,23,Madhya Pradesh,2014,"Calendar Year (Jan - Dec), 2014",25.7,7.8
641,India,23,Madhya Pradesh,2015,"Calendar Year (Jan - Dec), 2015",25.5,7.5
642,India,23,Madhya Pradesh,2016,"Calendar Year (Jan - Dec), 2016",25.1,7.1
643,India,23,Madhya Pradesh,2017,"Calendar Year (Jan - Dec), 2017",24.8,6.8
644,India,23,Madhya Pradesh,2018,"Calendar Year (Jan - Dec), 2018",24.6,6.7
645,India,24,Gujarat,1991,"Calendar Year (Jan - Dec), 1991",27.5,8.5
646,India,24,Gujarat,1992,"Calendar Year (Jan - Dec), 1992",28.1,9.2
