ROWID,Country,State lgd code,State,YearCode,Year,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation
876,India,36,Telangana,1998,"Financial Year (Apr - Mar), 1998",5568.33893438931165171270,1067939.95022112412137603364,176788.44996888595620143314,404604.90134610610162381222,1244728.40019001007757746678,1472544.85156723022299984586,293863.86241817097518319550,358482.66654708078645113104,118054.16544667117446718046,1624994.42520238375203302366,2035285.61246142252865457148,330998.53745219200338893170,410292.01495713381776783570,37312.21627540735408448646,116604.86608225412731710258,111511.21200537091306148906
877,India,36,Telangana,1999,"Financial Year (Apr - Mar), 1999",5448.32271060834543997010,1122373.92929055262757160578,207963.28486956321056128940,478803.89707606966060081482,1330337.21416011583813289518,1601177.82636662228817242060,318879.79579364706001493668,376749.96350463888502464264,139548.65727679470241713618,1958362.24845163103667101186,2420767.79086874550701634812,377033.45010219047762824154,462405.12856806694977219232,40000.57968810099722752070,125372.25815397746937147148,171292.94846686026542305388
878,India,36,Telangana,2000,"Financial Year (Apr - Mar), 2000",5805.88828766612063633426,1089990.65517111529963144472,242797.78689746489323300708,529032.34212459410250766868,1332788.44206858019286445180,1619022.99729570940213911340,316135.97660858566007061448,375383.84779877347307649670,150584.35597797830587344022,2080412.12645211334484293302,2538840.57952255510727500588,367442.91227494871559057598,458428.45307044176243207286,-3908.39040478429277136936,87076.73654166123349698358,142824.68633696755942456522
879,India,36,Telangana,2001,"Financial Year (Apr - Mar), 2001",5892.79658764544099656166,1244546.72045814854596727712,272885.85419935312251687690,513094.18760648178958825140,1517432.57465750166848415402,1757640.90806463033555552852,310803.11778223555453780364,371518.08384588379933895316,154381.83483802708504223366,2112173.79930217477192089620,2645303.24699722254855357088,427733.68306488837291918700,533129.44769504777663267468,10418.23592228290832554556,115814.00055244231203903324,104918.59667836818287852486
880,India,36,Telangana,2002,"Financial Year (Apr - Mar), 2002",6056.68081046358796156190,1326877.02227379632607641284,307343.75359401108362760918,592176.60209718811166374600,1634220.77586780740970402202,1919053.62437098443774015884,357905.76097483710748847868,416937.60296221918131322422,174999.79438550203907332446,2814491.35920839317896654592,3405415.65408778403629672948,472808.46592463911746455604,590924.70872843837790332750,6375.34457705442928239570,124491.17353180616914802322,194078.23547620046100895846
881,India,36,Telangana,2003,"Financial Year (Apr - Mar), 2003",6125.79360139952367659988,1416029.62563782075446339946,305368.45209019538801158356,579014.54698984380339387824,1721398.07772801614247498302,1995044.17262766455785727770,299092.84513359341685687740,357611.92815109750055628128,166836.62192315873380910796,2731561.39012288808837184114,3418739.52417270888866587778,553534.27498304963549463638,686904.99367845722201903624,25546.90170344498017541620,159190.76077021614497481646,175375.15547160319891487804
882,India,36,Telangana,2004,"Financial Year (Apr - Mar), 2004",6444.45736799036499743368,1459520.60819271026558691012,383182.00540120363282775812,692533.34072473701677662024,1842702.61359391389841466824,2152053.94891744728236353036,324463.03329374711229983122,386316.91193617197439310362,189348.76856113535112001214,3423120.53018976167596762662,4237172.78058701210557249300,659583.09341019650362926138,814052.25039725042960486638,27761.40795672756706863914,182230.97879282901361738808,283250.28974545835633371026
883,India,36,Telangana,2005,"Financial Year (Apr - Mar), 2005",6534.67646034984994281260,1627417.09752656918721764842,221319.02133114714706252108,849790.59874493704402294902,1848736.11885771633428016950,2477207.69627150623124059744,339233.30579975636780704982,402523.65448612513928293796,218267.71230377796127225146,4017941.62770060625002114922,4884099.95627498196188692524,730905.42441084455868273704,866158.32857437571186577602,164572.86763322119871175616,299825.77179675235189479514,444937.80181936611908591674
884,India,36,Telangana,2006,"Financial Year (Apr - Mar), 2006",6571.50902557918095262326,2114320.84816071150539165692,671338.88945406590435602102,1008769.88265187017612121214,2785659.73761477740974767794,3123090.73081258168151286906,347871.99081770081161365338,416905.32273651257660799690,255809.61480055923345162462,5256012.43826315286743205322,6545600.41980820299152004024,1120541.81955717905026338340,1289587.98154505012408798702,306399.76391661665628628204,475446.33975353525068402960,628045.72674389122719531368
885,India,36,Telangana,2007,"Financial Year (Apr - Mar), 2007",6928.24690454191500269954,2659022.34292252954827518188,888340.22367243091180781608,1307118.62719802160246528542,3547362.56659496046008299796,3966140.97012055115074046730,356909.21246840756735787116,430926.52846650959472468410,323187.96437833622644335208,6056741.64627357348581405918,7554121.57918251330318174444,1301877.22901117354359728532,1497379.93290893981736768526,413409.95368115381583427966,608912.65757892008960467960,943557.61898881586296486664
