ROWID,Country,State lgd code,State,YearCode,Year,State Development Loans,Power bonds,Compensation and other bonds,Special securities issued to National Small Savings Fund (NSSF),Ways and Means Advances (WMA) ,Loans from Life Insurance Corporation of India,Loans from General Insurance Corporation of India,Loans from National Bank for Agriculture and Rural Development (NABARD),Loans from State Bank of India (SBI) and other banks as on end-March,Loans from National Co-operative Development Corporation (NCDC ) as on end-March,Loans from other institutions,Loans from banks and Financial Institutions,Total internal debt,Loans and Advances from Centre,Provident Funds,Reserve Funds,Deposits and Advances,Contingency funds,Total outstanding liabilities
340,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",164417,8923,0,8032,0,60,16,4214,0,70,16,4375,185747,1229,10417,3571,18335,48,219346
341,India,36,Telangana,2021,"Financial Year (Apr - Mar), 2021",193715,8923,0,7527,0,46,16,4514,0,54,-90,4538,214704,1251,11428,4107,20787,48,252325
342,India,37,Ladakh,2011,"Financial Year (Apr - Mar), 2011",247.09692199422356624274,17.38732988010335768835,,76.56986403804006951813,,28.36649918804283637961,0.24057940714608419443,41.1364644632739850,0.00000000000000000000,0.00000000000000000000,2.55889005782653188621,68.12771393273202414995,409.15995898990391903604,38.38335086739797829315,145.41931619221034625137,34.81840147059691250296,75.27948358152925429346,0.00000000000000000000,703.08238195683350894011
343,India,37,Ladakh,2012,"Financial Year (Apr - Mar), 2012",305.22965510279554704228,13.90986390408268615068,0.00000000000000000000,75.03890417438317009903,0.00000000000000000000,31.03474352184486108147,0.19683769675588706817,46.4915071744694150,0.00000000000000000000,0.00000000000000000000,3.08379058250889740133,76.08870522374790112927,470.28899926020440298439,35.51826883684006652312,190.69198644606437193047,31.36280634977133952842,74.68897049126159308895,0.02187085519509856313,802.57290223933687261848
344,India,37,Ladakh,2013,"Financial Year (Apr - Mar), 2013",339.21696407597871414630,10.43239792806201461301,0.00000000000000000000,76.94166857635674509134,0.00000000000000000000,33.94356726279296997776,0.15309598636568994191,52.0899609179919100,0.00000000000000000000,0.00000000000000000000,3.19314485848439021698,84.11530908034907379798,510.70633966074654764863,33.98730897318316710402,227.63186087058584505704,35.10272258813319382365,78.82256212313522152052,0.02187085519509856313,886.29453592617417228012
345,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",376.28806363167077865165,8.70460036764922812574,0.00000000000000000000,80.30978027640192381336,0.00000000000000000000,36.83052014854598031092,0.13122513117059137878,50.8729057563565850,0.00000000000000000000,0.00000000000000000000,2.97443630653340458568,85.64626894400597321708,550.94871321972790380783,31.90957772964880360667,271.15486270883198568574,43.89480637656281620191,82.32189895435099162132,0.00000000000000000000,980.22985898912250092347
346,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",400.69593802940077510473,3.47746597602067153767,0.00000000000000000000,89.29870176158743325979,4.94281327409227526738,39.12695994403132943957,0.08748342078039425252,50.2887192787716290,0.00000000000000000000,0.00000000000000000000,2.51514834743633475995,86.91477854532168987862,585.32969758642284504819,29.70062135494384873054,319.97061150429197859190,28.86952885753010333160,90.82966162524433267889,0.02187085519509856313,1054.72199178362820694425
347,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",440.61024876045565281698,46.80363011751092509820,,99.49052028250336367837,0.00000000000000000000,36.61181159659499467962,0.06561256558529568939,46.7105771035637735,0.00000000000000000000,0.00000000000000000000,2.16521466431475774987,80.81280994588919076535,667.71720910635913235890,27.60101925621438667006,383.11177045254153034821,33.76860042123218147272,92.99487628955909042876,0.02187085519509856313,1205.21534638110141984178
348,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",482.16487363114292276398,77.37908568025871635394,,92.60120089604731629242,19.46506112363772118570,33.85608384201257572524,0.04374171039019712626,44.1304201608968845,0.00000000000000000000,0.00000000000000000000,6.03635603384720342388,79.56617119976857266694,751.15452167566015069985,25.63264228865551598836,423.48536914269347788619,41.00785349080980586875,114.03463898724390815982,0.02187085519509856313,1355.31502558506285860297
349,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",569.07965217646461264260,77.37908568025871635394,,83.87472967320298960355,6.58312741372466750213,30.96913095625956539208,0.02187085519509856313,44.8849943611107860,,,10.16994766572083185545,81.49080645693724622238,818.38553054539313376147,23.79549045226723668544,457.51641982626684211647,47.56911004933937480775,137.48019575638956783518,0.02187085519509856313,1484.74674662965615520631
350,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",676.83735572271523318411,77.37908568025871635394,0.00000000000000000000,76.59173489323516808126,11.63529496379243558516,27.77598609777517517510,0.02187085519509856313,48.3901132266205220,0.00000000000000000000,0.00000000000000000000,9.71065970662376202972,80.98777678744997927039,923.40937719225643391173,21.32408381522109905175,573.93498202977649365746,54.61152542216111213561,149.59664953447417180920,0.02187085519509856313,1722.92035970427950769201
351,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",824.68433684158151994291,77.37908568025871635394,0.00000000000000000000,76.59173489323516808126,5.00842583967757095677,24.84529150163196771568,0.02187085519509856313,50.1670137626080965,0.00000000000000000000,0.00000000000000000000,1.57470157404709654536,71.49582563277720287197,1055.15940888753017820685,18.85267717817496141806,645.54016193852918934508,55.50823048516015322394,149.59664953447417180920,0.02187085519509856313,1924.67899887906375256626
352,India,37,Ladakh,2021,"Financial Year (Apr - Mar), 2021",907.96855342451684834195,77.37908568025871635394,0.00000000000000000000,76.59173489323516808126,4.89907156370207814112,21.71775920873287318809,0.02187085519509856313,61.6073322819801515,0.00000000000000000000,0.00000000000000000000,-6.08009774423740055014,71.03653767368013304624,1137.87498323539294396451,16.38127054112882378437,697.04602592298630551623,56.73299837608567275922,149.59664953447417180920,0.02187085519509856313,2057.65379846526301639666
