srcStateName,srcYear,Number of Employees,Mandays Employees,YearCode,Year
Nagaland,2016-17,612,1346,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016-17,49167,92703,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016-17,9547,14409,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016-17,120399,186823,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016-17,117206,164463,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016-17,3848,5043,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016-17,391999,732353,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016-17,114699,219792,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016-17,3060,5295,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016-17,224999,303379,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016-17,80967,131571,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016-17,140510,198096,2016,"Financial Year (Apr - Mar), 2016"
Andaman & Nicobar Islands,2017-18,73,101,2017,"Financial Year (Apr - Mar), 2017"
Andhra Pradesh,2017-18,101048,187691,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2017-18,121741,237910,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017-18,144963,206668,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017-18,86638,131862,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017-18,227716,323002,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2017-18,559,918,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017-18,34759,53992,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017-18,16201,27265,2017,"Financial Year (Apr - Mar), 2017"
Chandigarh,2017-18,3958,2891,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017-18,36757,61024,2017,"Financial Year (Apr - Mar), 2017"
Dadra & Nagar Haveli,2017-18,25513,39349,2017,"Financial Year (Apr - Mar), 2017"
Daman & Diu,2017-18,24912,35075,2017,"Financial Year (Apr - Mar), 2017"
Delhi,2017-18,32722,30834,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017-18,24667,25384,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017-18,416999,566664,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2017-18,181335,253195,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017-18,59029,63476,2017,"Financial Year (Apr - Mar), 2017"
Jammu and Kashmir,2017-18,15012,22171,2017,"Financial Year (Apr - Mar), 2017"
Jharkhand,2017-18,38796,59329,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2017-18,3005,5172,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017-18,233710,324866,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2017-18,66111,87449,2017,"Financial Year (Apr - Mar), 2017"
Madhya Pradesh,2017-18,95861,117480,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017-18,588797,616905,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017-18,983,2399,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017-18,1925,3884,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017-18,591,1380,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017-18,49805,95210,2017,"Financial Year (Apr - Mar), 2017"
Puducherry,2017-18,11863,15652,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017-18,134295,203094,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017-18,120809,171328,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017-18,4588,5852,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017-18,416037,764957,2017,"Financial Year (Apr - Mar), 2017"
