ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
186,India,8,Rajasthan,1994,"Financial Year (Apr - Mar), 1994",273074,89384
187,India,8,Rajasthan,1995,"Financial Year (Apr - Mar), 1995",293878,97832
188,India,8,Rajasthan,1996,"Financial Year (Apr - Mar), 1996",306055,103178
189,India,8,Rajasthan,1997,"Financial Year (Apr - Mar), 1997",291265,
190,India,8,Rajasthan,1999,"Financial Year (Apr - Mar), 1999",234651,74346
191,India,8,Rajasthan,2000,"Financial Year (Apr - Mar), 2000",,73011
192,India,8,Rajasthan,2001,"Financial Year (Apr - Mar), 2001",,71659
193,India,8,Rajasthan,2002,"Financial Year (Apr - Mar), 2002",,75146
194,India,8,Rajasthan,2003,"Financial Year (Apr - Mar), 2003",,76470
195,India,8,Rajasthan,2004,"Financial Year (Apr - Mar), 2004",,82217
196,India,8,Rajasthan,2005,"Financial Year (Apr - Mar), 2005",,89002
197,India,8,Rajasthan,2006,"Financial Year (Apr - Mar), 2006",,94352
198,India,8,Rajasthan,2007,"Financial Year (Apr - Mar), 2007",,103424
199,India,8,Rajasthan,2008,"Financial Year (Apr - Mar), 2008",73031,107367
200,India,8,Rajasthan,2009,"Financial Year (Apr - Mar), 2009",81942,119390
201,India,8,Rajasthan,2010,"Financial Year (Apr - Mar), 2010",91990,133354
202,India,8,Rajasthan,2011,"Financial Year (Apr - Mar), 2011",94287,139858
203,India,8,Rajasthan,2012,"Financial Year (Apr - Mar), 2012",97409,129039
204,India,8,Rajasthan,2013,"Financial Year (Apr - Mar), 2013",110840,143794
205,India,8,Rajasthan,2014,"Financial Year (Apr - Mar), 2014",108551,149912
206,India,8,Rajasthan,2015,"Financial Year (Apr - Mar), 2015",113002,155093
207,India,8,Rajasthan,2016,"Financial Year (Apr - Mar), 2016",117206,164463
208,India,8,Rajasthan,2017,"Financial Year (Apr - Mar), 2017",120809,171328
209,India,9,Uttar Pradesh,1991,"Financial Year (Apr - Mar), 1991",753662,226036
210,India,9,Uttar Pradesh,1992,"Financial Year (Apr - Mar), 1992",786168,234714
211,India,9,Uttar Pradesh,1993,"Financial Year (Apr - Mar), 1993",777777,232057
212,India,9,Uttar Pradesh,1994,"Financial Year (Apr - Mar), 1994",760457,232036
213,India,9,Uttar Pradesh,1995,"Financial Year (Apr - Mar), 1995",797290,240081
214,India,9,Uttar Pradesh,1996,"Financial Year (Apr - Mar), 1996",817692,244434
215,India,9,Uttar Pradesh,1997,"Financial Year (Apr - Mar), 1997",767522,
216,India,9,Uttar Pradesh,1999,"Financial Year (Apr - Mar), 1999",571719,169967
217,India,9,Uttar Pradesh,2000,"Financial Year (Apr - Mar), 2000",,157109
218,India,9,Uttar Pradesh,2001,"Financial Year (Apr - Mar), 2001",,149904
219,India,9,Uttar Pradesh,2002,"Financial Year (Apr - Mar), 2002",,161101
220,India,9,Uttar Pradesh,2003,"Financial Year (Apr - Mar), 2003",,169178
221,India,9,Uttar Pradesh,2004,"Financial Year (Apr - Mar), 2004",,174504
222,India,9,Uttar Pradesh,2005,"Financial Year (Apr - Mar), 2005",,190766
223,India,9,Uttar Pradesh,2006,"Financial Year (Apr - Mar), 2006",,204780
224,India,9,Uttar Pradesh,2007,"Financial Year (Apr - Mar), 2007",,221585
225,India,9,Uttar Pradesh,2008,"Financial Year (Apr - Mar), 2008",158577,218447
226,India,9,Uttar Pradesh,2009,"Financial Year (Apr - Mar), 2009",166030,224444
227,India,9,Uttar Pradesh,2010,"Financial Year (Apr - Mar), 2010",179302,242376
228,India,9,Uttar Pradesh,2011,"Financial Year (Apr - Mar), 2011",189893,258170
229,India,9,Uttar Pradesh,2012,"Financial Year (Apr - Mar), 2012",185637,244674
230,India,9,Uttar Pradesh,2013,"Financial Year (Apr - Mar), 2013",205271,272117
231,India,9,Uttar Pradesh,2014,"Financial Year (Apr - Mar), 2014",204352,263569
232,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",205804,281233
233,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",224999,303379
234,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",227716,323002
235,India,10,Bihar,1991,"Financial Year (Apr - Mar), 1991",358469,115892
236,India,10,Bihar,1992,"Financial Year (Apr - Mar), 1992",364206,118356
237,India,10,Bihar,1993,"Financial Year (Apr - Mar), 1993",340947,110831
238,India,10,Bihar,1994,"Financial Year (Apr - Mar), 1994",342854,111604
239,India,10,Bihar,1995,"Financial Year (Apr - Mar), 1995",336307,108659
240,India,10,Bihar,1996,"Financial Year (Apr - Mar), 1996",327711,106691
241,India,10,Bihar,1997,"Financial Year (Apr - Mar), 1997",272524,
242,India,10,Bihar,1999,"Financial Year (Apr - Mar), 1999",67750,17431
243,India,10,Bihar,2000,"Financial Year (Apr - Mar), 2000",,15593
244,India,10,Bihar,2001,"Financial Year (Apr - Mar), 2001",,15625
245,India,10,Bihar,2002,"Financial Year (Apr - Mar), 2002",,13525
246,India,10,Bihar,2003,"Financial Year (Apr - Mar), 2003",,13537
247,India,10,Bihar,2004,"Financial Year (Apr - Mar), 2004",,14554
248,India,10,Bihar,2005,"Financial Year (Apr - Mar), 2005",,15020
249,India,10,Bihar,2006,"Financial Year (Apr - Mar), 2006",,14901
250,India,10,Bihar,2007,"Financial Year (Apr - Mar), 2007",,16458
251,India,10,Bihar,2008,"Financial Year (Apr - Mar), 2008",9574,15441
252,India,10,Bihar,2009,"Financial Year (Apr - Mar), 2009",11792,19619
253,India,10,Bihar,2010,"Financial Year (Apr - Mar), 2010",13407,24338
254,India,10,Bihar,2011,"Financial Year (Apr - Mar), 2011",15022,27441
255,India,10,Bihar,2012,"Financial Year (Apr - Mar), 2012",13782,26196
256,India,10,Bihar,2013,"Financial Year (Apr - Mar), 2013",15181,25551
257,India,10,Bihar,2014,"Financial Year (Apr - Mar), 2014",18229,33224
258,India,10,Bihar,2015,"Financial Year (Apr - Mar), 2015",14363,26642
259,India,10,Bihar,2016,"Financial Year (Apr - Mar), 2016",15488,25664
260,India,10,Bihar,2017,"Financial Year (Apr - Mar), 2017",16201,27265
261,India,11,Sikkim,1991,"Financial Year (Apr - Mar), 1991",,
262,India,11,Sikkim,1992,"Financial Year (Apr - Mar), 1992",,
263,India,11,Sikkim,1993,"Financial Year (Apr - Mar), 1993",,
264,India,11,Sikkim,1994,"Financial Year (Apr - Mar), 1994",,
265,India,11,Sikkim,1995,"Financial Year (Apr - Mar), 1995",,
266,India,11,Sikkim,1996,"Financial Year (Apr - Mar), 1996",,
267,India,11,Sikkim,1997,"Financial Year (Apr - Mar), 1997",,
268,India,11,Sikkim,1999,"Financial Year (Apr - Mar), 1999",,
269,India,11,Sikkim,2000,"Financial Year (Apr - Mar), 2000",,
270,India,11,Sikkim,2001,"Financial Year (Apr - Mar), 2001",,
271,India,11,Sikkim,2002,"Financial Year (Apr - Mar), 2002",,
272,India,11,Sikkim,2003,"Financial Year (Apr - Mar), 2003",,
273,India,11,Sikkim,2004,"Financial Year (Apr - Mar), 2004",,
274,India,11,Sikkim,2005,"Financial Year (Apr - Mar), 2005",,
275,India,11,Sikkim,2006,"Financial Year (Apr - Mar), 2006",,
276,India,11,Sikkim,2007,"Financial Year (Apr - Mar), 2007",,
277,India,11,Sikkim,2008,"Financial Year (Apr - Mar), 2008",,
278,India,11,Sikkim,2009,"Financial Year (Apr - Mar), 2009",,
279,India,11,Sikkim,2010,"Financial Year (Apr - Mar), 2010",1598,2038
