srcStateName,srcYear,Credit to agriculture by Scheduled Commercial Banks,Personal loans by Scheduled Commercial Banks,Credit to industry by Scheduled Commercial Banks,Credit by Scheduled Commercial Banks in India,Distribution of offices of Scheduled Commercial Banks,Deposits of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of utilisation,Credit-Deposit ratio of Regional Rural Banks,Credit-Deposit ratio of Scheduled Commercial Banks according to place of sanction,Deposits by Scheduled Commercial Banks in India,Credit of Regional Rural Banks,Number of Branches of Regional Rural Banks,YearCode,Year
Manipur,2021,470,5262,429,7405,210,381,60.1,49.7,57.7,12323,190,27,2021,"Financial Year (Apr - Mar), 2021"
Meghalaya,2021,561,5056,1848,9785,367,2678,37.9,31.4,37.6,25821,842,93,2021,"Financial Year (Apr - Mar), 2021"
Mizoram,2021,475,3229,408,5063,210,4155,42.2,49.3,42.0,12000,2050,92,2021,"Financial Year (Apr - Mar), 2021"
Nagaland,2021,281,4235,1855,7208,180,117,57.3,28.2,43.2,12579,33,11,2021,"Financial Year (Apr - Mar), 2021"
Odisha,2021,23978,47767,31270,155954,5289,20832,42.9,41.3,39.5,363567,8606,994,2021,"Financial Year (Apr - Mar), 2021"
Puducherry,2021,3637,5906,1458,14885,268,895,67.2,93.4,64.8,22138,836,44,2021,"Financial Year (Apr - Mar), 2021"
Punjab,2021,66375,64554,61886,263532,6700,10133,57.4,75.3,55.0,459027,7627,429,2021,"Financial Year (Apr - Mar), 2021"
Rajasthan,2021,104797,114845,69401,388631,7871,34388,81.9,73.4,77.9,474438,25229,1588,2021,"Financial Year (Apr - Mar), 2021"
Sikkim,2021,169,2232,209,3847,164,,36.3,,35.8,10604,,,2021,"Financial Year (Apr - Mar), 2021"
Tamil Nadu,2021,223007,260647,247712,1046952,12028,18261,103.8,105.6,101.7,1008731,15659,652,2021,"Financial Year (Apr - Mar), 2021"
Telangana,2021,79689,201322,183349,601477,5579,20712,99.3,128.0,93.2,605468,26513,934,2021,"Financial Year (Apr - Mar), 2021"
Tripura,2021,2483,4873,907,12093,579,7567,42.6,35.7,42.1,28400,2705,149,2021,"Financial Year (Apr - Mar), 2021"
Uttar Pradesh,2021,159257,176301,102032,565113,18125,102629,44.2,56.1,41.5,1277878,57590,4360,2021,"Financial Year (Apr - Mar), 2021"
Uttarakhand,2021,8216,25461,12779,60740,2220,6024,36.7,43.3,35.3,165333,2608,287,2021,"Financial Year (Apr - Mar), 2021"
