srcStateName,srcYear,Gross sown area ,Net Sown Area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%),YearCode,Year
Maharashtra,2016-17,23947,16910,4663,3163,141.6,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016-17,469,469,75,75,100,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016-17,309,252,143,97,122.3,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,2016-17,186,145,30,16,128.8,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016-17,521,385,121,110,135.5,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016-17,4884,4099,1309,1122,119.2,2016,"Calendar Year (Jan - Dec), 2016"
Puducherry,2016-17,26,15,21,13,170.7,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016-17,7804,4130,7714,4128,189,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016-17,26036,18169,10724,8257,143.3,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,2016-17,146,77,16,16,189.2,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016-17,5129,4347,2845,2385,118,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016-17,5970,4774,3008,2158,125,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,2016-17,491,255,118,82,192,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016-17,26949,16564,21633,14337,162.7,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2017-18,25114,15191,11385,10557,165.3,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017-18,7445,6048,3730,2763,123.1,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017-18,316,233,56,55,135.6,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017-18,4045,2723,483,357,148.5,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017-18,7525,5242,5414,3105,143.6,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017-18,5540,4653,1838,1506,119.1,2017,"Calendar Year (Jan - Dec), 2017"
NCT of Delhi,2017-18,59,22,37,22,268.6,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017-18,152,129,35,17,117.8,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017-18,12220,10302,6278,4233,118.6,2017,"Calendar Year (Jan - Dec), 2017"
