ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
146,India,7,Delhi,1991,"Calendar Year (Jan - Dec), 1991",66,49,49,38,133.7
147,India,7,Delhi,1992,"Calendar Year (Jan - Dec), 1992",56,44,44,36,127.3
148,India,7,Delhi,1993,"Calendar Year (Jan - Dec), 1993",60,46,48,38,130.4
149,India,7,Delhi,1994,"Calendar Year (Jan - Dec), 1994",68,47,50,39,144.7
150,India,7,Delhi,1995,"Calendar Year (Jan - Dec), 1995",67,47,64,44,142.6
151,India,7,Delhi,1996,"Calendar Year (Jan - Dec), 1996",49,41,37,37,119.5
152,India,7,Delhi,1997,"Calendar Year (Jan - Dec), 1997",57,42,44,40,135.7
153,India,7,Delhi,1998,"Calendar Year (Jan - Dec), 1998",60,41,48,39,145.2
154,India,7,Delhi,1999,"Calendar Year (Jan - Dec), 1999",61,41,49,40,147.1
155,India,7,Delhi,2000,"Calendar Year (Jan - Dec), 2000",53,34,42,34,155.2
156,India,7,Delhi,2001,"Calendar Year (Jan - Dec), 2001",52,29,39,29,179.1
157,India,7,Delhi,2002,"Calendar Year (Jan - Dec), 2002",45,29,32,23,152.2
158,India,7,Delhi,2003,"Calendar Year (Jan - Dec), 2003",44,27,31,25,165
159,India,7,Delhi,2004,"Calendar Year (Jan - Dec), 2004",46,28,34,25,167.6
160,India,7,Delhi,2005,"Calendar Year (Jan - Dec), 2005",44,28,32,24,159.2
161,India,7,Delhi,2006,"Calendar Year (Jan - Dec), 2006",43,23,31,22,185.9
162,India,7,Delhi,2007,"Calendar Year (Jan - Dec), 2007",44,23,32,22,189.7
163,India,7,Delhi,2008,"Calendar Year (Jan - Dec), 2008",43,23,31,23,187.8
164,India,7,Delhi,2009,"Calendar Year (Jan - Dec), 2009",46,22,34,22,204.3
165,India,7,Delhi,2010,"Calendar Year (Jan - Dec), 2010",44,22,32,22,200.9
166,India,7,Delhi,2011,"Calendar Year (Jan - Dec), 2011",40,22,31,22,182.1
167,India,7,Delhi,2012,"Calendar Year (Jan - Dec), 2012",48,22,34,22,218.7
168,India,7,Delhi,2013,"Calendar Year (Jan - Dec), 2013",35,22,29,22,161.5
169,India,7,Delhi,2014,"Calendar Year (Jan - Dec), 2014",35,22,29,22,161.5
170,India,7,Delhi,2015,"Calendar Year (Jan - Dec), 2015",58,22,37,22,267.1
171,India,7,Delhi,2016,"Calendar Year (Jan - Dec), 2016",57,22,37,22,259.5
172,India,7,Delhi,2017,"Calendar Year (Jan - Dec), 2017",59,22,37,22,268.6
173,India,7,Delhi,2018,"Calendar Year (Jan - Dec), 2018",,,,,
174,India,7,Delhi,2019,"Calendar Year (Jan - Dec), 2019",,,,,
175,India,8,Rajasthan,1991,"Calendar Year (Jan - Dec), 1991",18093,15490,5264,4344,116.8
176,India,8,Rajasthan,1992,"Calendar Year (Jan - Dec), 1992",20167,16938,5486,4471,119.1
177,India,8,Rajasthan,1993,"Calendar Year (Jan - Dec), 1993",19254,16232,5595,4597,118.6
178,India,8,Rajasthan,1994,"Calendar Year (Jan - Dec), 1994",20380,17021,5815,4858,119.7
179,India,8,Rajasthan,1995,"Calendar Year (Jan - Dec), 1995",19672,16575,6361,5232,118.7
180,India,8,Rajasthan,1996,"Calendar Year (Jan - Dec), 1996",20693,16790,6744,5588,123.2
181,India,8,Rajasthan,1997,"Calendar Year (Jan - Dec), 1997",22325,17075,6676,5421,130.7
182,India,8,Rajasthan,1998,"Calendar Year (Jan - Dec), 1998",21401,16073,6809,5499,133.1
183,India,8,Rajasthan,1999,"Calendar Year (Jan - Dec), 1999",19286,15509,6934,5612,124.4
184,India,8,Rajasthan,2000,"Calendar Year (Jan - Dec), 2000",19230,15865,6135,4907,121.2
185,India,8,Rajasthan,2001,"Calendar Year (Jan - Dec), 2001",20798,16765,6744,5420,124.1
186,India,8,Rajasthan,2002,"Calendar Year (Jan - Dec), 2002",13218,10807,5272,4372,122.3
