ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State value added by Banking and Insurance sector at current prices,Gross State Value Added by Construction sector at constant prices,Gross State value added by Manufacturing sector at constant prices,Net State value added by Banking and Insurance sector at constant prices,Net State value added by Construction sector at constant prices,Gross State value added by Industry sector at constant prices,Net State Domestic Product at current prices,Gross State value added by Agriculture sector at current prices,Net State value added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Net State value added by Manufacturing sector at current prices,Net State value added by Agriculture sector at current prices,Gross State value added by Agriculture sector at constant prices,Net State value added by Banking and Insurance sector at current prices,Net State value added by Industry sector at current prices,Per capita Net State Domestic Product at current prices,Gross State value added by Services sector at constant prices,Net State value added by Construction sector at current prices,Net State Domestic Product at constant prices,Net State value added by Services sector at current prices,Gross State value added by Industry sector at current prices,Net State value added by Agriculture sector at constant prices,Net State value added by Manufacturing sector at constant prices,Gross State Domestic Product at current prices,Gross State value added by Banking and Insurance sector at constant prices,Gross State value added by Services sector at current prices,Gross State value added by Manufacturing sector at current prices,Gross State value added by Construction sector at current prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Services sector at constant prices
105,India,29,Karnataka,2011,"Financial Year (Apr - Mar), 2011",2004-2005,2663942,2755446,4886093,2512608,2573226,8305167,40682123,6198503,6311696,28278400,5181700,5699692,3631701,2627720,10286425,68053,15652089,4275107,24804028,23613094,12911082,3328717,3477454,45521235,2540257,25275275,7000882,4512772,41492,14510621
106,India,29,Karnataka,2012,"Financial Year (Apr - Mar), 2012",2004-2005,3044474,2736235,4932216,2814552,2538485,8279532,46595879,7084784,6062719,29999067,5337784,6495922,3749106,3002887,10734488,77168,17293357,4595569,26125013,27929977,13769372,3418970,3345860,52267274,2845121,29920917,7464415,4864079,43266,16002393
107,India,29,Karnataka,2013,"Financial Year (Apr - Mar), 2013",2004-2005,3635703,2834104,5089577,3166045,2613274,8627279,54600118,8771625,6612504,32145528,6056879,8106031,4122807,3586265,12129413,89545,18674691,5089887,28056052,32713670,15167973,3735884,3644884,61460704,3200271,35795495,8031785,5405811,46012,17019217
108,India,29,Karnataka,2014,"Financial Year (Apr - Mar), 2014",2004-2005,4171136,2994238,5252087,3482257,2769386,9003108,62541206,10357361,6928211,34410571,6524522,9571441,4300176,4114418,13157515,101594,20343891,5557999,30107076,37943917,16410152,3896607,3770152,70213121,3519902,41493432,8602054,5902978,48907,18553286
109,India,30,Goa,2011,"Financial Year (Apr - Mar), 2011",2004-2005,182426,248893,583044,172063,238742,1001737,3806140,125698,766146,2704495,1247910,109121,64229,179946,2052466,211570,1601362,232928,2327852,1552478,2372844,54352,485817,4325451,173956,1725189,1373266,246168,129397,1476935
110,India,30,Goa,2012,"Financial Year (Apr - Mar), 2012",2004-2005,204323,274190,594842,188892,262666,954823,3703488,136116,739785,2817312,1306978,117021,61764,201532,1792529,200514,1765684,256579,2442104,1685915,2091571,51295,466341,4240747,190944,1893996,1478958,272227,132220,1623250
111,India,30,Goa,2013,"Financial Year (Apr - Mar), 2013",2004-2005,228848,302293,615322,207367,289210,1006193,4256382,158676,763192,3034536,1318425,136680,64548,225707,1883096,224138,1918179,291404,2609241,2016345,2230719,53451,444600,4889731,209591,2267434,1555677,309898,137401,1754809
112,India,30,Goa,2014,"Financial Year (Apr - Mar), 2014",2004-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,India,32,Kerala,2011,"Financial Year (Apr - Mar), 2011",2004-2005,1573711,2528824,1576361,1483258,2375921,4441416,27723315,4037910,3772422,20095773,1793298,3451593,1570119,1550959,5997098,82753,13657283,3792738,17691461,17555971,6880892,1228440,1232579,31267716,1500645,19569939,2242856,4001345,52808,12306120
114,India,32,Kerala,2012,"Financial Year (Apr - Mar), 2012",2004-2005,1811439,2586912,1603444,1673212,2429763,4541496,30827173,4028847,3850097,21285953,1924023,3442578,1593167,1785251,6555294,91567,14719835,4167909,18732729,19968571,7532576,1244846,1252012,34784078,1692825,22281031,2407915,4397675,55643,13248553
115,India,32,Kerala,2013,"Financial Year (Apr - Mar), 2013",2004-2005,2122131,2625980,1632153,1874856,2472532,4586980,35124499,4309647,3902827,22620850,2080634,3682517,1547330,2091451,6952592,103820,16036683,4426599,19947798,23478040,7988338,1209031,1274183,39628246,1896833,26220980,2604175,4664792,58961,14430536
116,India,32,Kerala,2014,"Financial Year (Apr - Mar), 2014",2004-2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,India,33,Tamil Nadu,2011,"Financial Year (Apr - Mar), 2011",2004-2005,3892008,4193375,8671985,3670911,3901776,13244766,60285113,7778598,10787459,43323803,9680379,7375198,3197598,3839088,16915474,89050,26411788,6760755,38650813,34990605,20116455,2950003,6668365,66720168,3711305,37745942,12271929,7141080,57093,24495874
118,India,33,Tamil Nadu,2012,"Financial Year (Apr - Mar), 2012",2004-2005,4473545,4102094,8769196,4135698,3781008,13525594,67172774,7467449,10924567,44794362,10311328,6983806,2780764,4412436,18510085,98628,28008811,7195206,39747091,40563302,22033434,2506373,6672874,74485915,4180615,43790590,13126060,7631185,58360,25888199
119,India,33,Tamil Nadu,2013,"Financial Year (Apr - Mar), 2013",2004-2005,5141974,4152170,9170850,4658674,3827164,13946860,77176208,8720310,11252878,48061805,11096727,8155523,3009426,5071734,20091566,112664,30616155,7940096,42718219,47725985,23890253,2712471,6978511,85423816,4709271,51532063,14125854,8421210,62361,28315258
120,India,33,Tamil Nadu,2014,"Financial Year (Apr - Mar), 2014",2004-2005,5813002,4391537,9407294,5024380,4047795,14454101,88419496,10050859,11675578,51545756,11694105,9399897,3151154,5733596,22055276,128366,33419969,9169755,45898663,55722691,26129337,2840215,7158432,97670288,5078949,60165403,14886300,9725378,66635,30917989
121,India,34,Puducherry,2011,"Financial Year (Apr - Mar), 2011",2004-2005,56497,102258,337286,53288,96229,451148,1303387,46071,389491,1135677,412119,42956,27458,55729,563090,103149,642277,139795,1017409,666619,643800,25547,289614,1466146,53874,742303,473761,147658,80517,589847
122,India,34,Puducherry,2012,"Financial Year (Apr - Mar), 2012",2004-2005,61833,104921,343311,54681,98347,461996,1479955,56425,387250,1271792,424886,52697,32488,60993,585880,114256,758800,147351,1133003,805859,687411,30376,283858,1679534,55280,896937,504630,156278,87470,698993
123,India,34,Puducherry,2013,"Financial Year (Apr - Mar), 2013",2004-2005,67777,107649,352258,57171,100975,474668,1907597,71716,397842,1407721,503874,67560,34760,66937,720988,143677,879001,184117,1258489,1075868,822521,32501,291430,2107703,57806,1166979,583618,193044,94787,811054
124,India,34,Puducherry,2014,"Financial Year (Apr - Mar), 2014",2004-2005,97269,110378,359940,60202,103529,488047,2381829,76533,408042,1570141,618829,72377,38741,96429,854783,175006,1022515,196797,1401352,1410764,956316,36095,297771,2581935,60926,1501875,698573,205724,102965,938730
125,India,35,Andaman And Nicobar Islands,2011,"Financial Year (Apr - Mar), 2011",2004-2005,13310,73268,3142,13074,70150,85560,450002,34935,76737,373339,3491,32845,23815,13129,118463,89642,252138,109330,343145,283054,134711,22757,1976,499389,13227,311621,4596,116058,68356,233657
126,India,35,Andaman And Nicobar Islands,2012,"Financial Year (Apr - Mar), 2012",2004-2005,11871,78091,3242,16186,70820,90829,503088,36918,78246,401465,3821,34527,24789,11708,138218,97687,273869,128507,370263,314412,160227,23800,2039,563253,13045,347695,4973,139697,71896,257428
