srcStateName,srcYear,Country,YearCode,StateCode,Year,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Nagaland,1993-94,India,1993,13,"Financial Year (Apr - Mar), 1993",NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,1999-00,India,1999,13,"Financial Year (Apr - Mar), 1999",NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2004-05,India,2004,13,"Financial Year (Apr - Mar), 2004",NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2009-10,India,2009,13,"Financial Year (Apr - Mar), 2009",NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,2011-12,India,2011,13,"Financial Year (Apr - Mar), 2011",NAGALAND,1978502,570966,1407536,1024649,299177,725472,953853,271789,682064,396002,118511,277491,,101253.1,101253.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,1993-94,India,1993,21,"Financial Year (Apr - Mar), 1993",ODISHA,41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,1999-00,India,1999,21,"Financial Year (Apr - Mar), 1999",ODISHA,41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2004-05,India,2004,21,"Financial Year (Apr - Mar), 2004",ODISHA,41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2009-10,India,2009,21,"Financial Year (Apr - Mar), 2009",ODISHA,41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Odisha,2011-12,India,2011,21,"Financial Year (Apr - Mar), 2011",ODISHA,41980846,7010284,34970562,21215646,3629443,17586203,20765200,3380841,17384359,9639296,1549309,8089987,2297094.4,1.157379e+07,13870884.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
