srcYear,srcStateName,Per capita availability of power,Availability of power ,Installed capacity of  power,Power requirement,Length of national highways ,Length of railway route,Length of roads,Length of state highways,Electricity transmission and distribution losses (%),Telephones per 100 population,Score of ease of doing business,Ease of doing business rank,YearCode,Year
2016,Jammu and Kashmir,1118.6,1404,3122,1657,2601,298,49716,130,50.1,80.02,0,31,2016,"Financial Year (Apr - Mar), 2016"
2016,Jharkhand,229.3,756,2626,774,2654,2394,66786,1296,17.0,,97,7,2016,"Financial Year (Apr - Mar), 2016"
2016,Karnataka,997.4,6097,17037,6430,6503,3281,345515,19578,10.5,101.89,88,13,2016,"Financial Year (Apr - Mar), 2016"
2016,Lakshadweep,745.0,5,1,5,,,209,,9.8,,0,31,2016,"Financial Year (Apr - Mar), 2016"
2016,Madhya Pradesh,859.2,6238,17644,6238,5194,5000,289940,10934,28.6,64.23,97,5,2016,"Financial Year (Apr - Mar), 2016"
2016,Maharashtra,1258.0,14136,40376,14182,7435,5745,613418,39000,19.9,87.06,93,10,2016,"Financial Year (Apr - Mar), 2016"
2016,Manipur,297.6,81,206,84,1746,1,24776,715,44.5,,1,28,2016,"Financial Year (Apr - Mar), 2016"
2016,Meghalaya,581.6,172,510,183,1203,,21727,772,32.3,,0,31,2016,"Financial Year (Apr - Mar), 2016"
2016,Mizoram,417.0,46,119,47,1381,2,8108,170,36.1,,1,29,2016,"Financial Year (Apr - Mar), 2016"
2016,Nagaland,372.6,74,140,76,1150,11,36114,722,29.9,,1,26,2016,"Financial Year (Apr - Mar), 2016"
2016,Odisha,634.1,2660,9422,2676,4838,2572,288083,4187,39.1,69.09,93,11,2016,"Financial Year (Apr - Mar), 2016"
2016,Puducherry,1951.8,243,335,244,64,22,3174,89,14.0,,1,26,2016,"Financial Year (Apr - Mar), 2016"
2016,Punjab,1793.0,4968,12455,4969,2769,2269,108379,1133,18.5,106.1,91,12,2016,"Financial Year (Apr - Mar), 2016"
2016,Rajasthan,979.4,6721,17784,6742,7906,5893,254279,15188,29.1,83.36,96,8,2016,"Financial Year (Apr - Mar), 2016"
2016,Sikkim,656.6,40,414,40,463,,8243,701,26.5,,1,30,2016,"Financial Year (Apr - Mar), 2016"
2016,Tamil Nadu,1338.9,9659,24747,9728,4946,4027,261035,11752,10.8,118.13,63,18,2016,"Financial Year (Apr - Mar), 2016"
2016,Telangana,1415.5,4995,10892,5025,2696,1737,123572,2731,16.5,,99,1,2016,"Financial Year (Apr - Mar), 2016"
2016,Tripura,312.2,115,677,120,805,193,39365,329,30.6,,17,22,2016,"Financial Year (Apr - Mar), 2016"
2016,Uttar Pradesh,466.1,9303,18632,10635,8483,9077,422412,7147,24.5,65.83,85,14,2016,"Financial Year (Apr - Mar), 2016"
2016,Uttarakhand,1252.9,1268,3177,1289,2714,340,61018,4521,25.6,,96,9,2016,"Financial Year (Apr - Mar), 2016"
2016,West Bengal,516.6,4719,9984,4736,2956,4135,316730,3612,22.2,63.16,84,15,2016,"Financial Year (Apr - Mar), 2016"
2017,West Bengal,523.4,4781,10383,4795,3004,4139,322067,3262,22.4,73.59,95,10,2017,"Financial Year (Apr - Mar), 2017"
2017,Andaman and Nicobar Islands,473.8,18,52,24,331,,1617,266,10.7,,1,31,2017,"Financial Year (Apr - Mar), 2017"
2017,Andhra Pradesh,1098.6,5426,22298,5430,6383,3817,176474,6485,16.2,97.18,98,1,2017,"Financial Year (Apr - Mar), 2017"
2017,Arunachal Pradesh,515.7,71,274,73,2537,12,37025,,49.4,,,34,2017,"Financial Year (Apr - Mar), 2017"
2017,Assam,278.9,869,1600,902,3845,2440,337777,2530,25.0,66.97,85,17,2017,"Financial Year (Apr - Mar), 2017"
2017,Bihar,242.1,2513,3608,2571,4839,3714,209549,4006,30.3,60.99,82,18,2017,"Financial Year (Apr - Mar), 2017"
