srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,TotalPopulationRural,YearCode,TotalPopulationMale,Year,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Lakshadweep,2018-19,India,31,LAKSHADWEEP,64473,50332,14141,2018,33123,"Financial Year (Apr - Mar), 2018",25880,7243,31350,24452,6898,11574,8864,2710,2137,771.28,2908.28009033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lakshadweep,2019-20,India,31,LAKSHADWEEP,64473,50332,14141,2019,33123,"Financial Year (Apr - Mar), 2019",25880,7243,31350,24452,6898,11574,8864,2710,2137,771.28,2908.28009033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lakshadweep,2020-21,India,31,LAKSHADWEEP,64473,50332,14141,2020,33123,"Financial Year (Apr - Mar), 2020",25880,7243,31350,24452,6898,11574,8864,2710,2137,771.28,2908.28009033203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2014-15,India,32,KERALA,33406061,15934926,17471135,2014,16027412,"Financial Year (Apr - Mar), 2014",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2015-16,India,32,KERALA,33406061,15934926,17471135,2015,16027412,"Financial Year (Apr - Mar), 2015",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2016-17,India,32,KERALA,33406061,15934926,17471135,2016,16027412,"Financial Year (Apr - Mar), 2016",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2017-18,India,32,KERALA,33406061,15934926,17471135,2017,16027412,"Financial Year (Apr - Mar), 2017",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2018-19,India,32,KERALA,33406061,15934926,17471135,2018,16027412,"Financial Year (Apr - Mar), 2018",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2019-20,India,32,KERALA,33406061,15934926,17471135,2019,16027412,"Financial Year (Apr - Mar), 2019",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kerala,2020-21,India,32,KERALA,33406061,15934926,17471135,2020,16027412,"Financial Year (Apr - Mar), 2020",7619358,8408054,17378649,8315568,9063081,7853754,3704113,4149641,759880,3.12624e+06,3886116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2014-15,India,33,TAMIL NADU,72147030,34917440,37229590,2014,36137975,"Financial Year (Apr - Mar), 2014",17458910,18679065,36009055,17458530,18550525,18524982,8996487,9528495,1363555.5,1.15072e+07,12870773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2015-16,India,33,TAMIL NADU,72147030,34917440,37229590,2015,36137975,"Financial Year (Apr - Mar), 2015",17458910,18679065,36009055,17458530,18550525,18524982,8996487,9528495,1363555.5,1.15072e+07,12870773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tamil Nadu,2016-17,India,33,TAMIL NADU,72147030,34917440,37229590,2016,36137975,"Financial Year (Apr - Mar), 2016",17458910,18679065,36009055,17458530,18550525,18524982,8996487,9528495,1363555.5,1.15072e+07,12870773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
