srcStateName,srcYear,Consumption of chemical fertiliser,YearCode,Year
Telangana,2015-16,268.9,2015,"Calendar Year (Jan - Dec), 2015"
Karnataka,2015-16,175,2015,"Calendar Year (Jan - Dec), 2015"
Kerala,2015-16,43.8,2015,"Calendar Year (Jan - Dec), 2015"
Tamil Nadu,2015-16,175.2,2015,"Calendar Year (Jan - Dec), 2015"
Puducherry,2015-16,262.2,2015,"Calendar Year (Jan - Dec), 2015"
Andaman and Nicobar Islands,2015-16,,2015,"Calendar Year (Jan - Dec), 2015"
Lakshadweep,2015-16,,2015,"Calendar Year (Jan - Dec), 2015"
Gujarat,2015-16,124.5,2015,"Calendar Year (Jan - Dec), 2015"
Madhya Pradesh,2015-16,83.6,2015,"Calendar Year (Jan - Dec), 2015"
Chhattisgarh,2015-16,100.1,2015,"Calendar Year (Jan - Dec), 2015"
Maharashtra,2015-16,122.5,2015,"Calendar Year (Jan - Dec), 2015"
Rajasthan,2015-16,61.6,2015,"Calendar Year (Jan - Dec), 2015"
Goa,2015-16,49.1,2015,"Calendar Year (Jan - Dec), 2015"
Daman & Diu,2015-16,41.1,2015,"Calendar Year (Jan - Dec), 2015"
Dadra & Nagar Haveli,2015-16,56.1,2015,"Calendar Year (Jan - Dec), 2015"
Haryana,2015-16,220.4,2015,"Calendar Year (Jan - Dec), 2015"
Uttar Pradesh,2015-16,155.5,2015,"Calendar Year (Jan - Dec), 2015"
Uttaranchal,2015-16,169.2,2015,"Calendar Year (Jan - Dec), 2015"
Himachal Pradesh,2015-16,57.1,2015,"Calendar Year (Jan - Dec), 2015"
Jammu and Kashmir,2015-16,63.8,2015,"Calendar Year (Jan - Dec), 2015"
Delhi,2015-16,57.5,2015,"Calendar Year (Jan - Dec), 2015"
Chandigarh,2015-16,,2015,"Calendar Year (Jan - Dec), 2015"
Bihar,2015-16,220.2,2015,"Calendar Year (Jan - Dec), 2015"
Jharkhand,2015-16,54.5,2015,"Calendar Year (Jan - Dec), 2015"
Odisha,2015-16,62.6,2015,"Calendar Year (Jan - Dec), 2015"
West Bengal,2015-16,173.8,2015,"Calendar Year (Jan - Dec), 2015"
Assam,2015-16,44.8,2015,"Calendar Year (Jan - Dec), 2015"
Tripura,2015-16,43,2015,"Calendar Year (Jan - Dec), 2015"
Manipur,2015-16,41.6,2015,"Calendar Year (Jan - Dec), 2015"
Meghalaya,2015-16,,2015,"Calendar Year (Jan - Dec), 2015"
Nagaland,2015-16,6,2015,"Calendar Year (Jan - Dec), 2015"
Arunachal Pradesh,2015-16,2.1,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2015-16,18.2,2015,"Calendar Year (Jan - Dec), 2015"
Sikkim,2015-16,,2015,"Calendar Year (Jan - Dec), 2015"
Mizoram,2016-17,22.9,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2016-17,186.3,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016-17,252.6,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016-17,166.7,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016-17,35.1,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016-17,161,2016,"Calendar Year (Jan - Dec), 2016"
Puducherry,2016-17,289.2,2016,"Calendar Year (Jan - Dec), 2016"
Andaman and Nicobar Islands,2016-17,34.6,2016,"Calendar Year (Jan - Dec), 2016"
Lakshadweep,2016-17,,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016-17,128,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016-17,79.6,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016-17,102.6,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016-17,114.8,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016-17,51.9,2016,"Calendar Year (Jan - Dec), 2016"
Goa,2016-17,144.6,2016,"Calendar Year (Jan - Dec), 2016"
Daman & Diu,2016-17,41.2,2016,"Calendar Year (Jan - Dec), 2016"
Dadra & Nagar Haveli,2016-17,73.1,2016,"Calendar Year (Jan - Dec), 2016"
Haryana,2016-17,206.7,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,2016-17,,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016-17,232.6,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016-17,154.3,2016,"Calendar Year (Jan - Dec), 2016"
Uttaranchal,2016-17,169.3,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016-17,61.4,2016,"Calendar Year (Jan - Dec), 2016"
Jammu and Kashmir,2016-17,61.2,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016-17,76.5,2016,"Calendar Year (Jan - Dec), 2016"
Chandigarh,2016-17,,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016-17,196.9,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016-17,43.6,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016-17,62.6,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016-17,158.3,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016-17,74.6,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,2016-17,46.2,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016-17,34.7,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016-17,0,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016-17,,2016,"Calendar Year (Jan - Dec), 2016"
Arunachal Pradesh,2016-17,0,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2017-18,213.8,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017-18,184.8,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017-18,253,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017-18,164.5,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017-18,47.6,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017-18,149.5,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017-18,268.9,2017,"Calendar Year (Jan - Dec), 2017"
Andaman and Nicobar Islands,2017-18,20,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017-18,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017-18,144.7,2017,"Calendar Year (Jan - Dec), 2017"
