ROWID,Country,State lgd code,State,YearCode,Year,Consumption of chemical fertiliser
351,India,13,Nagaland,1993,"Calendar Year (Jan - Dec), 1993",5.1
352,India,13,Nagaland,1994,"Calendar Year (Jan - Dec), 1994",2.8
353,India,13,Nagaland,1995,"Calendar Year (Jan - Dec), 1995",2.4
354,India,13,Nagaland,1996,"Calendar Year (Jan - Dec), 1996",4
355,India,13,Nagaland,1997,"Calendar Year (Jan - Dec), 1997",2.5
356,India,13,Nagaland,1998,"Calendar Year (Jan - Dec), 1998",3.2
357,India,13,Nagaland,1999,"Calendar Year (Jan - Dec), 1999",3.4
358,India,13,Nagaland,2000,"Calendar Year (Jan - Dec), 2000",1.4
359,India,13,Nagaland,2001,"Calendar Year (Jan - Dec), 2001",2.1
360,India,13,Nagaland,2002,"Calendar Year (Jan - Dec), 2002",1.8
361,India,13,Nagaland,2003,"Calendar Year (Jan - Dec), 2003",1.8
362,India,13,Nagaland,2004,"Calendar Year (Jan - Dec), 2004",1.5
363,India,13,Nagaland,2005,"Calendar Year (Jan - Dec), 2005",1.5
364,India,13,Nagaland,2006,"Calendar Year (Jan - Dec), 2006",1.6
365,India,13,Nagaland,2007,"Calendar Year (Jan - Dec), 2007",2.1
366,India,13,Nagaland,2008,"Calendar Year (Jan - Dec), 2008",2.3
367,India,13,Nagaland,2009,"Calendar Year (Jan - Dec), 2009",2.3
368,India,13,Nagaland,2010,"Calendar Year (Jan - Dec), 2010",2.9
369,India,13,Nagaland,2011,"Calendar Year (Jan - Dec), 2011",3
370,India,13,Nagaland,2012,"Calendar Year (Jan - Dec), 2012",4.4
371,India,13,Nagaland,2013,"Calendar Year (Jan - Dec), 2013",5.2
372,India,13,Nagaland,2014,"Calendar Year (Jan - Dec), 2014",6.3
373,India,13,Nagaland,2015,"Calendar Year (Jan - Dec), 2015",6
374,India,13,Nagaland,2016,"Calendar Year (Jan - Dec), 2016",
375,India,13,Nagaland,2017,"Calendar Year (Jan - Dec), 2017",
376,India,13,Nagaland,2018,"Calendar Year (Jan - Dec), 2018",
377,India,13,Nagaland,2019,"Calendar Year (Jan - Dec), 2019",0
378,India,14,Manipur,1991,"Calendar Year (Jan - Dec), 1991",48
379,India,14,Manipur,1992,"Calendar Year (Jan - Dec), 1992",50.9
380,India,14,Manipur,1993,"Calendar Year (Jan - Dec), 1993",47.4
381,India,14,Manipur,1994,"Calendar Year (Jan - Dec), 1994",45.7
382,India,14,Manipur,1995,"Calendar Year (Jan - Dec), 1995",59.4
383,India,14,Manipur,1996,"Calendar Year (Jan - Dec), 1996",66.2
384,India,14,Manipur,1997,"Calendar Year (Jan - Dec), 1997",72.5
385,India,14,Manipur,1998,"Calendar Year (Jan - Dec), 1998",84.2
386,India,14,Manipur,1999,"Calendar Year (Jan - Dec), 1999",90.2
387,India,14,Manipur,2000,"Calendar Year (Jan - Dec), 2000",102
388,India,14,Manipur,2001,"Calendar Year (Jan - Dec), 2001",113.9
389,India,14,Manipur,2002,"Calendar Year (Jan - Dec), 2002",128.7
390,India,14,Manipur,2003,"Calendar Year (Jan - Dec), 2003",126.3
391,India,14,Manipur,2004,"Calendar Year (Jan - Dec), 2004",86
392,India,14,Manipur,2005,"Calendar Year (Jan - Dec), 2005",59.8
393,India,14,Manipur,2006,"Calendar Year (Jan - Dec), 2006",85.5
394,India,14,Manipur,2007,"Calendar Year (Jan - Dec), 2007",81.9
395,India,14,Manipur,2008,"Calendar Year (Jan - Dec), 2008",54.8
396,India,14,Manipur,2009,"Calendar Year (Jan - Dec), 2009",51.2
397,India,14,Manipur,2010,"Calendar Year (Jan - Dec), 2010",27.9
398,India,14,Manipur,2011,"Calendar Year (Jan - Dec), 2011",21.9
399,India,14,Manipur,2012,"Calendar Year (Jan - Dec), 2012",35.1
400,India,14,Manipur,2013,"Calendar Year (Jan - Dec), 2013",31.8
401,India,14,Manipur,2014,"Calendar Year (Jan - Dec), 2014",44.4
402,India,14,Manipur,2015,"Calendar Year (Jan - Dec), 2015",41.6
403,India,14,Manipur,2016,"Calendar Year (Jan - Dec), 2016",34.7
404,India,14,Manipur,2017,"Calendar Year (Jan - Dec), 2017",58
405,India,14,Manipur,2018,"Calendar Year (Jan - Dec), 2018",68.3
406,India,14,Manipur,2019,"Calendar Year (Jan - Dec), 2019",51.9
407,India,15,Mizoram,1991,"Calendar Year (Jan - Dec), 1991",11.1
408,India,15,Mizoram,1992,"Calendar Year (Jan - Dec), 1992",16.2
409,India,15,Mizoram,1993,"Calendar Year (Jan - Dec), 1993",9.7
410,India,15,Mizoram,1994,"Calendar Year (Jan - Dec), 1994",9.2
411,India,15,Mizoram,1995,"Calendar Year (Jan - Dec), 1995",7.3
412,India,15,Mizoram,1996,"Calendar Year (Jan - Dec), 1996",3.6
413,India,15,Mizoram,1997,"Calendar Year (Jan - Dec), 1997",8.8
414,India,15,Mizoram,1998,"Calendar Year (Jan - Dec), 1998",10.5
415,India,15,Mizoram,1999,"Calendar Year (Jan - Dec), 1999",12.8
416,India,15,Mizoram,2000,"Calendar Year (Jan - Dec), 2000",12.4
417,India,15,Mizoram,2001,"Calendar Year (Jan - Dec), 2001",17.5
418,India,15,Mizoram,2002,"Calendar Year (Jan - Dec), 2002",19.9
419,India,15,Mizoram,2003,"Calendar Year (Jan - Dec), 2003",16.9
420,India,15,Mizoram,2004,"Calendar Year (Jan - Dec), 2004",15.9
421,India,15,Mizoram,2005,"Calendar Year (Jan - Dec), 2005",25.5
422,India,15,Mizoram,2006,"Calendar Year (Jan - Dec), 2006",38.1
423,India,15,Mizoram,2007,"Calendar Year (Jan - Dec), 2007",40.3
424,India,15,Mizoram,2008,"Calendar Year (Jan - Dec), 2008",45.3
425,India,15,Mizoram,2009,"Calendar Year (Jan - Dec), 2009",57
426,India,15,Mizoram,2010,"Calendar Year (Jan - Dec), 2010",45.5
427,India,15,Mizoram,2011,"Calendar Year (Jan - Dec), 2011",12.3
428,India,15,Mizoram,2012,"Calendar Year (Jan - Dec), 2012",15.2
429,India,15,Mizoram,2013,"Calendar Year (Jan - Dec), 2013",27.7
430,India,15,Mizoram,2014,"Calendar Year (Jan - Dec), 2014",
431,India,15,Mizoram,2015,"Calendar Year (Jan - Dec), 2015",18.2
432,India,15,Mizoram,2016,"Calendar Year (Jan - Dec), 2016",22.9
433,India,15,Mizoram,2017,"Calendar Year (Jan - Dec), 2017",36.8
434,India,15,Mizoram,2018,"Calendar Year (Jan - Dec), 2018",55.9
435,India,15,Mizoram,2019,"Calendar Year (Jan - Dec), 2019",32
436,India,16,Tripura,1991,"Calendar Year (Jan - Dec), 1991",25
437,India,16,Tripura,1992,"Calendar Year (Jan - Dec), 1992",20.1
438,India,16,Tripura,1993,"Calendar Year (Jan - Dec), 1993",17.5
439,India,16,Tripura,1994,"Calendar Year (Jan - Dec), 1994",17.4
440,India,16,Tripura,1995,"Calendar Year (Jan - Dec), 1995",18.4
441,India,16,Tripura,1996,"Calendar Year (Jan - Dec), 1996",18.8
442,India,16,Tripura,1997,"Calendar Year (Jan - Dec), 1997",24.5
443,India,16,Tripura,1998,"Calendar Year (Jan - Dec), 1998",21.3
444,India,16,Tripura,1999,"Calendar Year (Jan - Dec), 1999",19.5
445,India,16,Tripura,2000,"Calendar Year (Jan - Dec), 2000",20.7
446,India,16,Tripura,2001,"Calendar Year (Jan - Dec), 2001",32.2
447,India,16,Tripura,2002,"Calendar Year (Jan - Dec), 2002",21.6
448,India,16,Tripura,2003,"Calendar Year (Jan - Dec), 2003",37.2
449,India,16,Tripura,2004,"Calendar Year (Jan - Dec), 2004",34.7
450,India,16,Tripura,2005,"Calendar Year (Jan - Dec), 2005",39.2
451,India,16,Tripura,2006,"Calendar Year (Jan - Dec), 2006",45.3
452,India,16,Tripura,2007,"Calendar Year (Jan - Dec), 2007",42.2
453,India,16,Tripura,2008,"Calendar Year (Jan - Dec), 2008",47.5
454,India,16,Tripura,2009,"Calendar Year (Jan - Dec), 2009",48.6
455,India,16,Tripura,2010,"Calendar Year (Jan - Dec), 2010",51.6
456,India,16,Tripura,2011,"Calendar Year (Jan - Dec), 2011",50.2
457,India,16,Tripura,2012,"Calendar Year (Jan - Dec), 2012",69.1
458,India,16,Tripura,2013,"Calendar Year (Jan - Dec), 2013",50.7
459,India,16,Tripura,2014,"Calendar Year (Jan - Dec), 2014",41.2
460,India,16,Tripura,2015,"Calendar Year (Jan - Dec), 2015",43
461,India,16,Tripura,2016,"Calendar Year (Jan - Dec), 2016",46.2
462,India,16,Tripura,2017,"Calendar Year (Jan - Dec), 2017",27.4
463,India,16,Tripura,2018,"Calendar Year (Jan - Dec), 2018",0
464,India,16,Tripura,2019,"Calendar Year (Jan - Dec), 2019",34.7
465,India,17,Meghalaya,1991,"Calendar Year (Jan - Dec), 1991",13.8
466,India,17,Meghalaya,1992,"Calendar Year (Jan - Dec), 1992",12.3
467,India,17,Meghalaya,1993,"Calendar Year (Jan - Dec), 1993",13.4
468,India,17,Meghalaya,1994,"Calendar Year (Jan - Dec), 1994",13.5
469,India,17,Meghalaya,1995,"Calendar Year (Jan - Dec), 1995",11.7
470,India,17,Meghalaya,1996,"Calendar Year (Jan - Dec), 1996",14.4
471,India,17,Meghalaya,1997,"Calendar Year (Jan - Dec), 1997",13.4
472,India,17,Meghalaya,1998,"Calendar Year (Jan - Dec), 1998",17.8
473,India,17,Meghalaya,1999,"Calendar Year (Jan - Dec), 1999",15.8
474,India,17,Meghalaya,2000,"Calendar Year (Jan - Dec), 2000",14.5
475,India,17,Meghalaya,2001,"Calendar Year (Jan - Dec), 2001",17.2
476,India,17,Meghalaya,2002,"Calendar Year (Jan - Dec), 2002",16.1
477,India,17,Meghalaya,2003,"Calendar Year (Jan - Dec), 2003",19.5
478,India,17,Meghalaya,2004,"Calendar Year (Jan - Dec), 2004",18.1
479,India,17,Meghalaya,2005,"Calendar Year (Jan - Dec), 2005",18
480,India,17,Meghalaya,2006,"Calendar Year (Jan - Dec), 2006",20
481,India,17,Meghalaya,2007,"Calendar Year (Jan - Dec), 2007",14.4
482,India,17,Meghalaya,2008,"Calendar Year (Jan - Dec), 2008",13
483,India,17,Meghalaya,2009,"Calendar Year (Jan - Dec), 2009",13
484,India,17,Meghalaya,2010,"Calendar Year (Jan - Dec), 2010",15
485,India,17,Meghalaya,2011,"Calendar Year (Jan - Dec), 2011",14
486,India,17,Meghalaya,2012,"Calendar Year (Jan - Dec), 2012",14.3
487,India,17,Meghalaya,2013,"Calendar Year (Jan - Dec), 2013",47.3
488,India,17,Meghalaya,2014,"Calendar Year (Jan - Dec), 2014",
489,India,17,Meghalaya,2015,"Calendar Year (Jan - Dec), 2015",
490,India,17,Meghalaya,2016,"Calendar Year (Jan - Dec), 2016",0
491,India,17,Meghalaya,2017,"Calendar Year (Jan - Dec), 2017",0
492,India,17,Meghalaya,2018,"Calendar Year (Jan - Dec), 2018",0
493,India,17,Meghalaya,2019,"Calendar Year (Jan - Dec), 2019",0
494,India,18,Assam,1991,"Calendar Year (Jan - Dec), 1991",9.5
495,India,18,Assam,1992,"Calendar Year (Jan - Dec), 1992",7
496,India,18,Assam,1993,"Calendar Year (Jan - Dec), 1993",8.7
497,India,18,Assam,1994,"Calendar Year (Jan - Dec), 1994",9.7
498,India,18,Assam,1995,"Calendar Year (Jan - Dec), 1995",12.9
499,India,18,Assam,1996,"Calendar Year (Jan - Dec), 1996",14.6
500,India,18,Assam,1997,"Calendar Year (Jan - Dec), 1997",18.1
501,India,18,Assam,1998,"Calendar Year (Jan - Dec), 1998",19.6
502,India,18,Assam,1999,"Calendar Year (Jan - Dec), 1999",27.6
503,India,18,Assam,2000,"Calendar Year (Jan - Dec), 2000",35.7
504,India,18,Assam,2001,"Calendar Year (Jan - Dec), 2001",37.4
505,India,18,Assam,2002,"Calendar Year (Jan - Dec), 2002",43
506,India,18,Assam,2003,"Calendar Year (Jan - Dec), 2003",47.5
507,India,18,Assam,2004,"Calendar Year (Jan - Dec), 2004",41.3
508,India,18,Assam,2005,"Calendar Year (Jan - Dec), 2005",49.3
509,India,18,Assam,2006,"Calendar Year (Jan - Dec), 2006",54.6
510,India,18,Assam,2007,"Calendar Year (Jan - Dec), 2007",55.7
511,India,18,Assam,2008,"Calendar Year (Jan - Dec), 2008",57.5
512,India,18,Assam,2009,"Calendar Year (Jan - Dec), 2009",63.1
513,India,18,Assam,2010,"Calendar Year (Jan - Dec), 2010",67.6
514,India,18,Assam,2011,"Calendar Year (Jan - Dec), 2011",66
515,India,18,Assam,2012,"Calendar Year (Jan - Dec), 2012",65.7
516,India,18,Assam,2013,"Calendar Year (Jan - Dec), 2013",88.8
517,India,18,Assam,2014,"Calendar Year (Jan - Dec), 2014",90.2
518,India,18,Assam,2015,"Calendar Year (Jan - Dec), 2015",44.8
519,India,18,Assam,2016,"Calendar Year (Jan - Dec), 2016",74.6
520,India,18,Assam,2017,"Calendar Year (Jan - Dec), 2017",63.5
521,India,18,Assam,2018,"Calendar Year (Jan - Dec), 2018",67.9
522,India,18,Assam,2019,"Calendar Year (Jan - Dec), 2019",61.5
523,India,19,West Bengal,1991,"Calendar Year (Jan - Dec), 1991",90.5
524,India,19,West Bengal,1992,"Calendar Year (Jan - Dec), 1992",84.4
525,India,19,West Bengal,1993,"Calendar Year (Jan - Dec), 1993",86
526,India,19,West Bengal,1994,"Calendar Year (Jan - Dec), 1994",88.2
527,India,19,West Bengal,1995,"Calendar Year (Jan - Dec), 1995",97.7
528,India,19,West Bengal,1996,"Calendar Year (Jan - Dec), 1996",103.2
529,India,19,West Bengal,1997,"Calendar Year (Jan - Dec), 1997",108.8
530,India,19,West Bengal,1998,"Calendar Year (Jan - Dec), 1998",119
531,India,19,West Bengal,1999,"Calendar Year (Jan - Dec), 1999",133.8
532,India,19,West Bengal,2000,"Calendar Year (Jan - Dec), 2000",116.8
533,India,19,West Bengal,2001,"Calendar Year (Jan - Dec), 2001",123.4
534,India,19,West Bengal,2002,"Calendar Year (Jan - Dec), 2002",128.1
535,India,19,West Bengal,2003,"Calendar Year (Jan - Dec), 2003",114.1
536,India,19,West Bengal,2004,"Calendar Year (Jan - Dec), 2004",129.7
537,India,19,West Bengal,2005,"Calendar Year (Jan - Dec), 2005",127.5
538,India,19,West Bengal,2006,"Calendar Year (Jan - Dec), 2006",143.2
539,India,19,West Bengal,2007,"Calendar Year (Jan - Dec), 2007",141
540,India,19,West Bengal,2008,"Calendar Year (Jan - Dec), 2008",155.8
541,India,19,West Bengal,2009,"Calendar Year (Jan - Dec), 2009",168.6
542,India,19,West Bengal,2010,"Calendar Year (Jan - Dec), 2010",164.9
543,India,19,West Bengal,2011,"Calendar Year (Jan - Dec), 2011",172.9
544,India,19,West Bengal,2012,"Calendar Year (Jan - Dec), 2012",161.2
545,India,19,West Bengal,2013,"Calendar Year (Jan - Dec), 2013",126.9
546,India,19,West Bengal,2014,"Calendar Year (Jan - Dec), 2014",150.9
547,India,19,West Bengal,2015,"Calendar Year (Jan - Dec), 2015",173.8
548,India,19,West Bengal,2016,"Calendar Year (Jan - Dec), 2016",158.3
549,India,19,West Bengal,2017,"Calendar Year (Jan - Dec), 2017",162.9
550,India,19,West Bengal,2018,"Calendar Year (Jan - Dec), 2018",161.1
551,India,19,West Bengal,2019,"Calendar Year (Jan - Dec), 2019",167.9
552,India,20,Jharkhand,1991,"Calendar Year (Jan - Dec), 1991",
553,India,20,Jharkhand,1992,"Calendar Year (Jan - Dec), 1992",
554,India,20,Jharkhand,1993,"Calendar Year (Jan - Dec), 1993",
555,India,20,Jharkhand,1994,"Calendar Year (Jan - Dec), 1994",
556,India,20,Jharkhand,1995,"Calendar Year (Jan - Dec), 1995",
557,India,20,Jharkhand,1996,"Calendar Year (Jan - Dec), 1996",
558,India,20,Jharkhand,1997,"Calendar Year (Jan - Dec), 1997",
559,India,20,Jharkhand,1998,"Calendar Year (Jan - Dec), 1998",
560,India,20,Jharkhand,1999,"Calendar Year (Jan - Dec), 1999",
561,India,20,Jharkhand,2000,"Calendar Year (Jan - Dec), 2000",
562,India,20,Jharkhand,2001,"Calendar Year (Jan - Dec), 2001",
563,India,20,Jharkhand,2002,"Calendar Year (Jan - Dec), 2002",
564,India,20,Jharkhand,2003,"Calendar Year (Jan - Dec), 2003",54.5
565,India,20,Jharkhand,2004,"Calendar Year (Jan - Dec), 2004",62.1
566,India,20,Jharkhand,2005,"Calendar Year (Jan - Dec), 2005",67.6
567,India,20,Jharkhand,2006,"Calendar Year (Jan - Dec), 2006",65.5
568,India,20,Jharkhand,2007,"Calendar Year (Jan - Dec), 2007",60.6
569,India,20,Jharkhand,2008,"Calendar Year (Jan - Dec), 2008",61.6
570,India,20,Jharkhand,2009,"Calendar Year (Jan - Dec), 2009",70
571,India,20,Jharkhand,2010,"Calendar Year (Jan - Dec), 2010",90.2
572,India,20,Jharkhand,2011,"Calendar Year (Jan - Dec), 2011",136.6
573,India,20,Jharkhand,2012,"Calendar Year (Jan - Dec), 2012",119.3
574,India,20,Jharkhand,2013,"Calendar Year (Jan - Dec), 2013",37.7
575,India,20,Jharkhand,2014,"Calendar Year (Jan - Dec), 2014",38.4
576,India,20,Jharkhand,2015,"Calendar Year (Jan - Dec), 2015",54.5
577,India,20,Jharkhand,2016,"Calendar Year (Jan - Dec), 2016",43.6
578,India,20,Jharkhand,2017,"Calendar Year (Jan - Dec), 2017",50.6
579,India,20,Jharkhand,2018,"Calendar Year (Jan - Dec), 2018",59.8
580,India,20,Jharkhand,2019,"Calendar Year (Jan - Dec), 2019",60.3
581,India,21,Odisha,1991,"Calendar Year (Jan - Dec), 1991",21.1
582,India,21,Odisha,1992,"Calendar Year (Jan - Dec), 1992",21.2
583,India,21,Odisha,1993,"Calendar Year (Jan - Dec), 1993",21.2
584,India,21,Odisha,1994,"Calendar Year (Jan - Dec), 1994",23.4
585,India,21,Odisha,1995,"Calendar Year (Jan - Dec), 1995",24.4
586,India,21,Odisha,1996,"Calendar Year (Jan - Dec), 1996",25.7
587,India,21,Odisha,1997,"Calendar Year (Jan - Dec), 1997",30.1
588,India,21,Odisha,1998,"Calendar Year (Jan - Dec), 1998",36.4
589,India,21,Odisha,1999,"Calendar Year (Jan - Dec), 1999",41.7
590,India,21,Odisha,2000,"Calendar Year (Jan - Dec), 2000",37.9
591,India,21,Odisha,2001,"Calendar Year (Jan - Dec), 2001",40.4
592,India,21,Odisha,2002,"Calendar Year (Jan - Dec), 2002",36.9
593,India,21,Odisha,2003,"Calendar Year (Jan - Dec), 2003",37.1
594,India,21,Odisha,2004,"Calendar Year (Jan - Dec), 2004",51.6
595,India,21,Odisha,2005,"Calendar Year (Jan - Dec), 2005",57.3
596,India,21,Odisha,2006,"Calendar Year (Jan - Dec), 2006",46.2
597,India,21,Odisha,2007,"Calendar Year (Jan - Dec), 2007",50.1
598,India,21,Odisha,2008,"Calendar Year (Jan - Dec), 2008",59.3
599,India,21,Odisha,2009,"Calendar Year (Jan - Dec), 2009",57.6
600,India,21,Odisha,2010,"Calendar Year (Jan - Dec), 2010",59.1
601,India,21,Odisha,2011,"Calendar Year (Jan - Dec), 2011",103.7
602,India,21,Odisha,2012,"Calendar Year (Jan - Dec), 2012",96.7
603,India,21,Odisha,2013,"Calendar Year (Jan - Dec), 2013",57.1
604,India,21,Odisha,2014,"Calendar Year (Jan - Dec), 2014",57.5
605,India,21,Odisha,2015,"Calendar Year (Jan - Dec), 2015",62.6
606,India,21,Odisha,2016,"Calendar Year (Jan - Dec), 2016",62.6
607,India,21,Odisha,2017,"Calendar Year (Jan - Dec), 2017",68.7
608,India,21,Odisha,2018,"Calendar Year (Jan - Dec), 2018",72.4
609,India,21,Odisha,2019,"Calendar Year (Jan - Dec), 2019",67.2
610,India,22,Chhattisgarh,1991,"Calendar Year (Jan - Dec), 1991",
611,India,22,Chhattisgarh,1992,"Calendar Year (Jan - Dec), 1992",
612,India,22,Chhattisgarh,1993,"Calendar Year (Jan - Dec), 1993",
613,India,22,Chhattisgarh,1994,"Calendar Year (Jan - Dec), 1994",
614,India,22,Chhattisgarh,1995,"Calendar Year (Jan - Dec), 1995",
615,India,22,Chhattisgarh,1996,"Calendar Year (Jan - Dec), 1996",
616,India,22,Chhattisgarh,1997,"Calendar Year (Jan - Dec), 1997",
617,India,22,Chhattisgarh,1998,"Calendar Year (Jan - Dec), 1998",
618,India,22,Chhattisgarh,1999,"Calendar Year (Jan - Dec), 1999",
619,India,22,Chhattisgarh,2000,"Calendar Year (Jan - Dec), 2000",
620,India,22,Chhattisgarh,2001,"Calendar Year (Jan - Dec), 2001",
621,India,22,Chhattisgarh,2002,"Calendar Year (Jan - Dec), 2002",47
622,India,22,Chhattisgarh,2003,"Calendar Year (Jan - Dec), 2003",44.2
623,India,22,Chhattisgarh,2004,"Calendar Year (Jan - Dec), 2004",65.2
624,India,22,Chhattisgarh,2005,"Calendar Year (Jan - Dec), 2005",67.4
625,India,22,Chhattisgarh,2006,"Calendar Year (Jan - Dec), 2006",76
626,India,22,Chhattisgarh,2007,"Calendar Year (Jan - Dec), 2007",76.9
627,India,22,Chhattisgarh,2008,"Calendar Year (Jan - Dec), 2008",80.5
628,India,22,Chhattisgarh,2009,"Calendar Year (Jan - Dec), 2009",93.4
629,India,22,Chhattisgarh,2010,"Calendar Year (Jan - Dec), 2010",101.1
630,India,22,Chhattisgarh,2011,"Calendar Year (Jan - Dec), 2011",105.2
631,India,22,Chhattisgarh,2012,"Calendar Year (Jan - Dec), 2012",105.7
632,India,22,Chhattisgarh,2013,"Calendar Year (Jan - Dec), 2013",86.5
633,India,22,Chhattisgarh,2014,"Calendar Year (Jan - Dec), 2014",92.1
634,India,22,Chhattisgarh,2015,"Calendar Year (Jan - Dec), 2015",100.1
635,India,22,Chhattisgarh,2016,"Calendar Year (Jan - Dec), 2016",102.6
636,India,22,Chhattisgarh,2017,"Calendar Year (Jan - Dec), 2017",86.8
637,India,22,Chhattisgarh,2018,"Calendar Year (Jan - Dec), 2018",86.3
638,India,22,Chhattisgarh,2019,"Calendar Year (Jan - Dec), 2019",111.3
639,India,23,Madhya Pradesh,1991,"Calendar Year (Jan - Dec), 1991",36.1
640,India,23,Madhya Pradesh,1992,"Calendar Year (Jan - Dec), 1992",33.2
641,India,23,Madhya Pradesh,1993,"Calendar Year (Jan - Dec), 1993",33.5
642,India,23,Madhya Pradesh,1994,"Calendar Year (Jan - Dec), 1994",37.6
643,India,23,Madhya Pradesh,1995,"Calendar Year (Jan - Dec), 1995",33.3
644,India,23,Madhya Pradesh,1996,"Calendar Year (Jan - Dec), 1996",39.2
645,India,23,Madhya Pradesh,1997,"Calendar Year (Jan - Dec), 1997",48.2
646,India,23,Madhya Pradesh,1998,"Calendar Year (Jan - Dec), 1998",48.2
647,India,23,Madhya Pradesh,1999,"Calendar Year (Jan - Dec), 1999",46.1
648,India,23,Madhya Pradesh,2000,"Calendar Year (Jan - Dec), 2000",36.9
649,India,23,Madhya Pradesh,2001,"Calendar Year (Jan - Dec), 2001",39.7
650,India,23,Madhya Pradesh,2002,"Calendar Year (Jan - Dec), 2002",39.4
651,India,23,Madhya Pradesh,2003,"Calendar Year (Jan - Dec), 2003",51.6
652,India,23,Madhya Pradesh,2004,"Calendar Year (Jan - Dec), 2004",53.4
653,India,23,Madhya Pradesh,2005,"Calendar Year (Jan - Dec), 2005",47.1
654,India,23,Madhya Pradesh,2006,"Calendar Year (Jan - Dec), 2006",61.5
655,India,23,Madhya Pradesh,2007,"Calendar Year (Jan - Dec), 2007",63.8
656,India,23,Madhya Pradesh,2008,"Calendar Year (Jan - Dec), 2008",69.7
657,India,23,Madhya Pradesh,2009,"Calendar Year (Jan - Dec), 2009",81.4
658,India,23,Madhya Pradesh,2010,"Calendar Year (Jan - Dec), 2010",87.2
659,India,23,Madhya Pradesh,2011,"Calendar Year (Jan - Dec), 2011",84
660,India,23,Madhya Pradesh,2012,"Calendar Year (Jan - Dec), 2012",80.8
661,India,23,Madhya Pradesh,2013,"Calendar Year (Jan - Dec), 2013",80.5
662,India,23,Madhya Pradesh,2014,"Calendar Year (Jan - Dec), 2014",78.2
663,India,23,Madhya Pradesh,2015,"Calendar Year (Jan - Dec), 2015",83.6
664,India,23,Madhya Pradesh,2016,"Calendar Year (Jan - Dec), 2016",79.6
665,India,23,Madhya Pradesh,2017,"Calendar Year (Jan - Dec), 2017",82
666,India,23,Madhya Pradesh,2018,"Calendar Year (Jan - Dec), 2018",90.3
667,India,23,Madhya Pradesh,2019,"Calendar Year (Jan - Dec), 2019",102.5
668,India,24,Gujarat,1991,"Calendar Year (Jan - Dec), 1991",74.9
669,India,24,Gujarat,1992,"Calendar Year (Jan - Dec), 1992",69.2
670,India,24,Gujarat,1993,"Calendar Year (Jan - Dec), 1993",63.7
671,India,24,Gujarat,1994,"Calendar Year (Jan - Dec), 1994",74.4
672,India,24,Gujarat,1995,"Calendar Year (Jan - Dec), 1995",70.6
673,India,24,Gujarat,1996,"Calendar Year (Jan - Dec), 1996",76.2
674,India,24,Gujarat,1997,"Calendar Year (Jan - Dec), 1997",102
675,India,24,Gujarat,1998,"Calendar Year (Jan - Dec), 1998",92.7
676,India,24,Gujarat,1999,"Calendar Year (Jan - Dec), 1999",91
677,India,24,Gujarat,2000,"Calendar Year (Jan - Dec), 2000",70.1
678,India,24,Gujarat,2001,"Calendar Year (Jan - Dec), 2001",90.2
679,India,24,Gujarat,2002,"Calendar Year (Jan - Dec), 2002",90.2
680,India,24,Gujarat,2003,"Calendar Year (Jan - Dec), 2003",94.7
681,India,24,Gujarat,2004,"Calendar Year (Jan - Dec), 2004",99.5
682,India,24,Gujarat,2005,"Calendar Year (Jan - Dec), 2005",111.1
683,India,24,Gujarat,2006,"Calendar Year (Jan - Dec), 2006",124.6
684,India,24,Gujarat,2007,"Calendar Year (Jan - Dec), 2007",132.8
685,India,24,Gujarat,2008,"Calendar Year (Jan - Dec), 2008",140.5
686,India,24,Gujarat,2009,"Calendar Year (Jan - Dec), 2009",147.2
687,India,24,Gujarat,2010,"Calendar Year (Jan - Dec), 2010",174.1
688,India,24,Gujarat,2011,"Calendar Year (Jan - Dec), 2011",132.4
689,India,24,Gujarat,2012,"Calendar Year (Jan - Dec), 2012",106.5
690,India,24,Gujarat,2013,"Calendar Year (Jan - Dec), 2013",119.6
691,India,24,Gujarat,2014,"Calendar Year (Jan - Dec), 2014",132.8
692,India,24,Gujarat,2015,"Calendar Year (Jan - Dec), 2015",124.5
693,India,24,Gujarat,2016,"Calendar Year (Jan - Dec), 2016",128
694,India,24,Gujarat,2017,"Calendar Year (Jan - Dec), 2017",144.7
695,India,24,Gujarat,2018,"Calendar Year (Jan - Dec), 2018",135.5
696,India,24,Gujarat,2019,"Calendar Year (Jan - Dec), 2019",130.8
697,India,27,Maharashtra,1991,"Calendar Year (Jan - Dec), 1991",58.2
698,India,27,Maharashtra,1992,"Calendar Year (Jan - Dec), 1992",51.8
699,India,27,Maharashtra,1993,"Calendar Year (Jan - Dec), 1993",60
700,India,27,Maharashtra,1994,"Calendar Year (Jan - Dec), 1994",66.1
701,India,27,Maharashtra,1995,"Calendar Year (Jan - Dec), 1995",64.3
702,India,27,Maharashtra,1996,"Calendar Year (Jan - Dec), 1996",62.2
703,India,27,Maharashtra,1997,"Calendar Year (Jan - Dec), 1997",75.2
704,India,27,Maharashtra,1998,"Calendar Year (Jan - Dec), 1998",76.5
705,India,27,Maharashtra,1999,"Calendar Year (Jan - Dec), 1999",88.8
706,India,27,Maharashtra,2000,"Calendar Year (Jan - Dec), 2000",74.3
707,India,27,Maharashtra,2001,"Calendar Year (Jan - Dec), 2001",75.6
708,India,27,Maharashtra,2002,"Calendar Year (Jan - Dec), 2002",75.6
